,x,y,z,phi,theta,psi,v_cmd,idx
0,"[-275.4274292  -275.17241133 -274.816674   -274.35732604 -273.79202851
 -273.11908215 -272.33748237 -271.44705442 -270.44888068 -269.3464148
 -268.14817867 -266.87403792 -265.56948276 -264.33800047 -263.41709976
 -262.42617487]","[-148.71162415 -146.97220479 -145.07913034 -143.0611001  -140.93903391
 -138.73006319 -136.4492815  -134.11088311 -131.72955454 -129.32291849
 -126.91646272 -124.55378036 -122.31779541 -120.37452062 -119.0642066
 -117.80823337]","[50.09895325 50.05351776 50.03800018 50.03753237 50.03737521 50.03721537
 50.03705622 50.03689792 50.03674082 50.03658547 50.03643294 50.03628545
 50.03614764 50.03602917 50.03595012 50.03587685]","[0.63107574 0.64576145 0.65904963 0.67107327 0.68195271 0.69179684
 0.70070418 0.70876387 0.71605658 0.7226553  0.72862607 0.73402864
 0.73891708 0.74334026 0.74733851 0.67621955]","[-3.60228206e-02 -1.59858085e-02 -3.85119158e-04 -7.21477548e-05
 -7.09894852e-05 -6.74983834e-05 -6.45677406e-05 -6.19978656e-05
 -5.97218093e-05 -5.76805561e-05 -5.58212860e-05 -5.40879536e-05
 -5.24056670e-05 -5.06114732e-05 -4.81250843e-05 -4.35441009e-05]","[1.44582036 1.40441634 1.36550044 1.32832138 1.29244949 1.25760546
 1.22358993 1.19024564 1.15742737 1.124964   1.09259015 1.05979607
 1.0254375  0.98641391 0.92988543 0.87701994]","[17.58756206 19.26412293 20.69768127 21.96188338 23.09317614 24.11104249
 25.02308723 25.82184132 26.47252049 26.88388042 26.84464253 25.88851498
 23.0076882  16.01769017 16.00000012]",1
1,"[-275.33987427 -275.07058321 -274.70149463 -274.22963716 -273.65262167
 -272.96870748 -272.17685339 -271.27685254 -270.26976212 -269.15902324
 -267.95316907 -266.67212162 -265.36151463 -264.12514816 -263.20117783
 -262.21114978]","[-148.26051331 -146.47461608 -144.5439938  -142.494349   -140.34499372
 -138.11205489 -135.80994418 -133.45236893 -131.05366151 -128.63119509
 -126.21030903 -123.8345748  -121.58709469 -119.63442372 -118.31807258
 -117.06139231]","[50.09762955 50.05046293 50.03441619 50.03393992 50.03370439 50.03347089
 50.03324219 50.03301778 50.03279739 50.03258088 50.03236837 50.03216038
 50.0319579  50.03175784 50.03156553 50.03134569]","[0.63112096 0.64580237 0.65908665 0.67110677 0.68198303 0.69182427
 0.700729   0.70878633 0.7160769  0.72267369 0.7286427  0.73404369
 0.7389307  0.74335258 0.74734703 0.67622722]","[-3.63070665e-02 -1.62430049e-02 -3.48489434e-04 -1.08372876e-04
 -1.03365773e-04 -9.67096338e-05 -9.12576237e-05 -8.66666484e-05
 -8.28216595e-05 -7.97067443e-05 -7.74732100e-05 -7.66475894e-05
 -7.89603580e-05 -9.39016672e-05 -1.44384501e-04 -1.30640299e-04]","[1.44118764 1.40088217 1.36274276 1.32615508 1.29075456 1.25629829
 1.22260933 1.18954526 1.15697124 1.12472388 1.09254415 1.05992842
 1.02574025 0.98689379 0.93059973 0.87773338]","[18.06854339 19.65791453 21.03375111 22.25576803 23.35442982 24.34606144
 25.23636797 26.01658463 26.65089081 27.04700494 26.99229796 26.01829499
 23.11319465 16.08472751 16.00000012]",1
2,"[-275.25030518 -274.96968007 -274.58924879 -274.10609247 -273.51786354
 -272.8228563  -272.02006175 -271.10930546 -270.09168237 -268.97068593
 -267.75493425 -266.46450295 -265.14532    -263.90176354 -262.97313293
 -261.9794308 ]","[-147.80967712 -146.00528945 -144.06025009 -141.9991247  -139.84058815
 -137.60036044 -135.2925737  -132.93073322 -130.52902043 -128.10469254
 -125.68299458 -123.30740714 -121.06090979 -119.10982143 -117.79509211
 -116.54131506]","[50.09619522 50.04817677 50.03188289 50.03146401 50.03123846 50.03101507
 50.03079644 50.03058203 50.03037157 50.03016487 50.02996198 50.02976326
 50.02956937 50.02937649 50.02918847 50.02897239]","[0.63120024 0.6458741  0.65915156 0.6711655  0.68203617 0.69187236
 0.70077251 0.7088257  0.71611252 0.72270592 0.72867187 0.73407008
 0.73895457 0.74337419 0.74736625 0.67624461]","[-3.64966950e-02 -1.64145879e-02 -2.95685512e-04 -1.03239223e-04
 -9.84567850e-05 -9.21153623e-05 -8.69200882e-05 -8.25445481e-05
 -7.88846790e-05 -7.59327440e-05 -7.38476063e-05 -7.31653941e-05
 -7.56346382e-05 -9.08289259e-05 -1.41915750e-04 -1.28406531e-04]","[1.4363436  1.39647327 1.35864235 1.32228747 1.28706947 1.25275997
 1.21919115 1.18622665 1.15373586 1.1215585  1.08943798 1.05687276
 1.02272857 0.98392263 0.92767372 0.87480541]","[18.26862122 19.8210121  21.17113968 22.37366874 23.45675777 24.43546456
 25.31471442 26.08520559 26.71069858 27.09853211 27.03566983 26.05312527
 23.13838849 16.09829536 16.00000012]",1
3,"[-275.06411743 -274.76043664 -274.35687481 -273.85062577 -273.239431
 -272.52166126 -271.69637836 -270.76347933 -269.72414153 -268.58197087
 -267.34576538 -266.03592268 -264.69898394 -263.44052912 -262.50223256
 -261.50097082]","[-146.90461731 -145.06432819 -143.09094761 -141.00706565 -138.83021415
 -136.57537127 -134.25615281 -131.88568728 -129.47787275 -127.04974764
 -124.62637781 -122.25106901 -120.00655883 -118.05869122 -116.7472746
 -115.49952646]","[50.09246826 50.0431495  50.0265639  50.02626558 50.02606136 50.02586029
 50.02566378 50.02547132 50.0252826  50.02509736 50.02491551 50.0247371
 50.02456213 50.02438538 50.02420773 50.02400128]","[0.6316872  0.64631472 0.65955025 0.67152626 0.68236259 0.69216772
 0.70103976 0.70906752 0.71633133 0.7229039  0.72885101 0.73423218
 0.73910125 0.7435069  0.74748555 0.67635255]","[-3.66499993e-02 -1.65533033e-02 -1.86886381e-04 -9.28868959e-05
 -8.78365606e-05 -8.21899046e-05 -7.75366291e-05 -7.36196228e-05
 -7.03538427e-05 -6.77469618e-05 -6.59704232e-05 -6.55731737e-05
 -6.83203964e-05 -8.38494199e-05 -1.35594432e-04 -1.22686895e-04]","[1.42669054 1.38761822 1.35036207 1.31444524 1.27957302 1.24554306
 1.21220402 1.17943063 1.14710008 1.11505785 1.08305184 1.05058442
 1.01652545 0.97779793 0.92163599 0.86875552]","[18.65979205 20.14429986 21.44608687 22.61141187 23.66442486 24.61793518
 25.47545527 26.22669033 26.83460708 27.20580274 27.12641908 26.12640591
 23.1917418  16.12729816 16.00000012]",1
4,"[-274.96759033 -274.65199895 -274.23647187 -273.71826521 -273.09516856
 -272.36559325 -271.52863892 -270.58424084 -269.53362033 -268.38044295
 -267.13360146 -265.81366205 -264.46748601 -263.20127949 -262.25795319
 -261.2527936 ]","[-146.45065308 -144.59255181 -142.60494336 -140.50955187 -138.3233873
 -136.06107927 -133.73599769 -131.36108994 -128.95011696 -126.52001072
 -124.09574955 -121.72055297 -119.47703753 -117.53080632 -116.22108414
 -114.97647396]","[50.0903511  50.04003689 50.02313346 50.02289954 50.02270879 50.02252209
 50.0223398  50.02216147 50.02198673 50.0218153  50.02164698 50.02148163
 50.02131882 50.02115239 50.02098133 50.0207809 ]","[0.63204708 0.64664036 0.6598449  0.67179286 0.68260383 0.69238599
 0.70123727 0.70924623 0.71649304 0.72305022 0.72898341 0.73435197
 0.73920964 0.74360498 0.74757383 0.67643243]","[-3.69168566e-02 -1.67947659e-02 -1.30771913e-04 -8.66982647e-05
 -8.12017446e-05 -7.59686922e-05 -7.16288239e-05 -6.79811684e-05
 -6.49492267e-05 -6.25491652e-05 -6.09597343e-05 -6.07381486e-05
 -6.36622560e-05 -7.94213124e-05 -1.31639895e-04 -1.19108763e-04]","[1.42180647 1.38311168 1.3461319  1.31042782 1.27572474 1.24183225
 1.20860672 1.17592809 1.14367726 1.11170245 1.07975372 1.04733534
 1.01331915 0.97463106 0.91851279 0.86562332]","[18.85532592 20.30788346 21.5863348  22.73341914 23.77153442 24.71246361
 25.55906053 26.30055811 26.89953672 27.26222292 27.17433612 26.16526609
 23.22017928 16.14286357 16.00000012]",1
5,"[-274.86947632 -274.53955056 -274.10975779 -273.57742208 -272.94038011
 -272.19707868 -271.34665018 -270.38906364 -269.32558117 -268.15992721
 -266.90109314 -265.56982635 -264.21333726 -262.93851846 -261.98963451
 -260.98022771]","[-145.99717712 -144.1173947  -142.11244933 -140.00305668 -137.80558923
 -135.53423333 -133.20204254 -130.82172948 -128.40687642 -125.97427646
 -123.54879455 -121.17354213 -118.93099253 -116.98647674 -115.6785729
 -114.43740481]","[50.08857727 50.03596601 50.01813754 50.01798794 50.01781656 50.01765068
 50.01748902 50.01733116 50.0171767  50.0170253  50.01687661 50.01673019
 50.01658499 50.01643348 50.01627186 50.01607992]","[0.63203463 0.64662909 0.6598347  0.67178364 0.68259548 0.69237844
 0.70123043 0.70924004 0.71648744 0.72304516 0.72897883 0.73434783
 0.73920589 0.74360158 0.74757014 0.6764291 ]","[-3.78310381e-02 -1.76219515e-02 -5.90647103e-05 -7.81390180e-05
 -7.17718129e-05 -6.71107342e-05 -6.31931851e-05 -5.99121852e-05
 -5.72004831e-05 -5.50855778e-05 -5.37563912e-05 -5.37826299e-05
 -5.69636367e-05 -7.30799720e-05 -1.26059367e-04 -1.14059405e-04]","[1.41606304 1.37785267 1.341233   1.30580874 1.27132946 1.23761967
 1.20454551 1.1719936  1.13984967 1.10796553 1.07609413 1.04374234
 1.00978475 0.97115139 0.9150954  0.86220631]","[19.0938954  20.50712995 21.75640931 22.88056838 23.89999039 24.82519717
 25.65822172 26.38770481 26.97574477 27.32811327 27.23002374 26.21021054
 23.25290736 16.1606835  16.00000012]",1
6,"[-274.7701416  -274.42147956 -273.97322695 -273.42278234 -272.76803399
 -272.0074568  -271.14020834 -270.16628474 -269.0869845  -267.90609113
 -266.63270348 -265.28777554 -263.91892387 -262.63384474 -261.67838602
 -260.66405682]","[-145.54415894 -143.63579205 -141.60792907 -139.48001484 -137.2676085
 -134.98429268 -132.64268374 -130.25516681 -127.83507349 -125.39900161
 -122.97165791 -120.59600786 -118.35434322 -116.41166816 -115.10580163
 -113.8686529 ]","[50.08740997 50.03026396 50.00941947 50.00834319 50.00824002 50.00811235
 50.00799016 50.0078714  50.00775572 50.00764262 50.00753146 50.00742121
 50.00730954 50.00718613 50.00704156 50.00686433]","[0.63140148 0.64605619 0.65931632 0.67131458 0.68217106 0.69199441
 0.70088295 0.70892563 0.71620295 0.72278774 0.7287459  0.73413707
 0.73901519 0.74342903 0.74741308 0.67628698]","[-3.98162776e-02 -1.94182707e-02 -9.61390506e-04 -3.33863417e-05
 -5.56665820e-05 -5.05110141e-05 -4.74044059e-05 -4.47474167e-05
 -4.25955562e-05 -4.09866794e-05 -4.01306111e-05 -4.06269301e-05
 -4.43387457e-05 -6.13406321e-05 -1.16403914e-04 -1.05322982e-04]","[1.4087646  1.37122272 1.3351084  1.30008117 1.26592171 1.2324744
 1.19961856 1.16725006 1.13526132 1.10350927 1.07175101 1.03949716
 1.00562645 0.96707522 0.91111478 0.8582417 ]","[19.40945125 20.77061544 21.98068135 23.07369649 24.06771412 24.97161014
 25.78632325 26.49969684 27.07318044 27.41194078 27.30053172 26.26685114
 23.293962   16.18292937 16.00000012]",1
7,"[-274.56860352 -274.16538271 -273.66386775 -273.06161887 -272.35666569
 -271.54752711 -270.63338761 -269.61427735 -268.49155619 -267.26913228
 -265.95636069 -264.57471647 -263.17286427 -261.86058847 -260.88784269
 -259.86097813]","[-144.63925171 -142.6502314  -140.55700966 -138.37584893 -136.12030472
 -133.80232095 -131.43326805 -129.02458019 -126.5888514  -124.14210043
 -121.70856554 -119.33079    -117.09056677 -115.15204497 -113.85109719
 -112.62433241]","[50.08849716 50.01460822 49.97947971 49.97208664 49.9724057  49.97241441
 49.97244436 49.97247528 49.97250791 49.97254115 49.97257336 49.97260132
 49.97261808 49.97260331 49.97252725 49.97241051]","[0.62800579 0.64298364 0.65653617 0.668799   0.67989487 0.68993482
 0.69901935 0.70723938 0.71467716 0.72140715 0.7274967  0.73300674
 0.73799242 0.74250359 0.74657181 0.67552577]","[-4.71118949e-02 -2.60196187e-02 -6.93453652e-03  2.80008732e-04
 -5.23372590e-06  1.20456880e-05  1.15482315e-05  1.20827254e-05
  1.22481100e-05  1.20630418e-05  1.12480439e-05  9.12129829e-06
  3.65373878e-06 -1.59522839e-05 -7.66689484e-05 -6.93700954e-05]","[1.38851079 1.35287456 1.31824287 1.28440414 1.2512156  1.21857335
 1.18639263 1.1545951  1.1230924  1.09175639 1.06035656 1.02841503
 0.99482368 0.95653956 0.90089559 0.84810819]","[20.30969603 21.52889359 22.62903266 23.63250147 24.55257434 25.39413115
 26.15518904 26.82139503 27.35237201 27.65156305 27.50163665 26.42810307
 23.41068946 16.24616972 16.00000012]",1
8,"[-274.4664917  -274.02655814 -273.48932928 -272.85245318 -272.11406485
 -271.27271107 -270.32758193 -269.27871834 -268.12750947 -266.8779346
 -265.53950582 -264.13402652 -262.71082841 -261.38102804 -260.39719337
 -259.36249556]","[-144.18736267 -142.14752373 -140.0125111  -137.79690528 -135.51323852
 -133.17252774 -130.78538573 -128.36265537 -125.91646463 -123.46246227
 -121.02458545 -118.64510667 -116.40550278 -114.46938742 -113.17141841
 -111.9512526 ]","[50.09047318 50.00422299 49.95849415 49.94649613 49.94717862 49.94726278
 49.94738781 49.94751164 49.9476366  49.94776099 49.94788235 49.94799569
 49.94809033 49.94813695 49.94808933 49.94798995]","[0.62536121 0.64059073 0.65437097 0.66683984 0.67812215 0.6883308
 0.69756798 0.70592612 0.71348888 0.72033195 0.72652381 0.73212643
 0.73719589 0.74178286 0.7459152  0.67493164]","[-5.22789723e-02 -3.06949842e-02 -1.11649824e-02  5.60968300e-04
  1.68073555e-05  5.03035935e-05  4.71424689e-05  4.66744337e-05
  4.57758435e-05  4.45797849e-05  4.27189978e-05  3.93637275e-05
  3.20832683e-05  8.01537378e-06 -6.52696221e-05 -5.90557665e-05]","[1.37552477 1.34105511 1.30735831 1.27428526 1.24173206 1.20962285
 1.17789334 1.14648037 1.1153072  1.08425494 1.05310091 1.02137477
 0.98797719 0.9498796  0.89445871 0.8417381 ]","[20.88665709 22.02180296 23.05473844 24.00179227 24.87435337 25.67541418
 26.40134514 27.03649899 27.53937939 27.81233633 27.63680856 26.53671574
 23.48952734 16.28905506 16.00000012]",1
9,"[-274.36346436 -273.88071963 -273.30184029 -272.62456013 -271.84716079
 -270.9682336  -269.98697475 -268.90343747 -267.71904504 -266.43785963
 -265.06957615 -263.63637977 -262.18837684 -260.83822869 -259.8415306
 -258.79789864]","[-143.7358551  -141.64037849 -139.459063   -137.20488759 -134.88949943
 -132.52301999 -130.11527453 -127.67648021 -125.21826538 -122.75587831
 -120.31292788 -117.93138928 -115.69238856 -113.75893828 -112.46432106
 -111.25178726]","[50.09344864 49.99218707 49.9335689  49.91607205 49.91726968 49.91744375
 49.91769099 49.91793303 49.91817525 49.9184152  49.91864955 49.91887139
 49.91906589 49.91919429 49.91919209 49.91912792]","[0.62238424 0.63789705 0.65193363 0.66463445 0.67612663 0.68652518
 0.69593418 0.7044478  0.71215124 0.7191216  0.72542864 0.73113549
 0.73629924 0.74097154 0.74517228 0.67425941]","[-5.83176616e-02 -3.61590167e-02 -1.61090439e-02  9.57865644e-04
  3.81314647e-05  9.87645355e-05  9.15265712e-05  8.98925020e-05
  8.76705763e-05  8.52533993e-05  8.21817849e-05  7.75128217e-05
  6.85186990e-05  4.08358433e-05 -4.21440605e-05 -3.81313441e-05]","[1.36090629 1.3276631  1.29496998 1.26273236 1.23088091 1.19936603
 1.16814352 1.13716549 1.10636709 1.07563912 1.04476729 1.01328944
 0.98011611 0.94223523 0.88707483 0.83442971]","[21.52889822 22.57719966 23.53919269 24.42514706 25.24532686 26.00126188
 26.68771293 27.28771536 27.75858841 28.00148051 27.79643116 26.66549952
 23.58345812 16.34049466 16.00000012]",1
