,x_pos,y_pos,z_pos,roll,pitch,yaw,vel,x_traj,y_traj,z_traj,roll_traj,pitch_traj,yaw_traj,x_cmd,y_cmd,z_cmd,roll_cmd,pitch_cmd,yaw_cmd,vel_cmd,effector_dmg,effector_x,effector_y,effector_z,cost,time_solution
0,-260.38983154296875,-219.7398223876953,49.979652404785156,0.632183253765106,0.030743040144443543,1.1150647858765463,23.140570147646446,"array('d', [-219.7398223876953, -217.51170066059584, -215.315693666851, -213.15218481693222, -211.02067786953683, -208.9200706288664, -206.84886461247888, -204.80532388980458, -202.78759253074998, -200.7937793530435, -198.82201760575356, -196.8705057776888, -194.93753424941582, -193.02150124846108, -191.12092058625868, -189.23442596003864])","array('d', [-260.38983154296875, -259.2580497714656, -258.06418318538795, -256.8119720294166, -255.50584235878566, -254.1504838571823, -252.7505582274159, -251.3105195888774, -249.8345164725926, -248.32634780010963, -246.7894522650183, -245.22691727423353, -243.641498724486, -242.0356463825427, -240.4115318814122, -238.77108034091017])","array('d', [-49.979652404785156, -49.91586921085526, -49.873200455871554, -49.84429376547455, -49.82444866776206, -49.810631483792704, -49.800863850976086, -49.79384092651434, -49.78869153528255, -49.78482661310869, -49.781843004978725, -49.77946229178397, -49.7774920159084, -49.77580136737283, -49.774306233059, -49.77296020679249])","array('d', [0.632183253765106, 0.6211498530206825, 0.5991804739509048, 0.5696970677113888, 0.5354988929003466, 0.4987745162115424, 0.46117470979146336, 0.4239060582187416, 0.3878220383734387, 0.353501455157943, 0.32131171741175035, 0.2914579930541183, 0.2640205346385425, 0.2389826141921216, 0.2162512139055899, 0.19567220776007194])","array('d', [-0.030743040144443543, -0.02046080638788285, -0.013787246768151436, -0.009411633161569389, -0.006512972611191678, -0.004573191879613923, -0.003262794772235333, -0.002370438596270726, -0.0017592727883009504, -0.0013396660504684842, -0.001052019521603099, -0.0008558242343433373, -0.0007226187476610362, -0.0006314215223992039, -0.0005657810032336665, -0.0005119399505677365])","array('d', [1.1150647858765463, 1.086659243376708, 1.059233074717223, 1.0332857522430212, 1.0090991935463753, 0.9867933856092677, 0.9663784507994405, 0.9477953881609323, 0.9309448813097692, 0.9157064487602625, 0.9019506998913923, 0.8895470129609186, 0.8783683136461904, 0.868294081123458, 0.8592123047401495, 0.8510208282237148])",-208.9200706288664,-254.1504838571823,-49.810631483792704,0.4987745162115424,-0.004573191879613923,0.9867933856092677,25.00000024893819,-1.0,"[-259.7299645310793, -218.3935498878532, 49.933545108302326]","[-262.4412886512255, -186.24753456213367, 73.58269773993206]","[-226.5406886554356, -199.79761055733584, 62.2892323520833]",10000000000.0,0.019741535186767578
1,-257.2520751953125,-214.66819763183594,49.981201171875,0.6054873466491697,0.01674853079020976,1.0640555779126029,23.17089200863677,"array('d', [-214.66819763183594, -212.49910444147403, -210.36297293969838, -208.25938567275793, -206.18731204023493, -204.14530675111695, -202.13166602054665, -200.14454628311665, -198.18205166374037, -196.24229669612808, -194.32345003589643, -192.42376379573068, -190.54159202668498, -188.67540094614432, -186.82377280137982, -184.98540772944418])","array('d', [-257.2520751953125, -256.00972086538576, -254.7112355406665, -253.36054019925822, -251.96191908524693, -250.51971804359994, -249.03814996606775, -247.52118176853278, -245.9724773881338, -244.39537670282294, -242.79289626898955, -241.16774264290234, -239.52233252768045, -237.85881630000102, -236.1791029434608, -234.48488806456402])","array('d', [-49.981201171875, -49.9464985037145, -49.92336170706651, -49.907735811212525, -49.89704025665825, -49.88961595482861, -49.88438443189158, -49.88063625052322, -49.87789875760975, -49.87585287409077, -49.874280470052256, -49.873031009193284, -49.8720004709785, -49.87111817731015, -49.87033872712167, -49.86963717813434])","array('d', [0.6054873466491697, 0.5873640937754637, 0.5612019052117134, 0.5297889302826785, 0.4953389887145719, 0.4595471928349488, 0.4236718464331718, 0.38861895531904195, 0.3550177377790755, 0.3232832100249384, 0.2936658816034801, 0.26629022751526416, 0.24118402015709206, 0.21830047979186745, 0.19753488883540923, 0.1787369749745928])","array('d', [-0.01674853079020976, -0.011108617131289552, -0.007461928586299443, -0.00507863050402171, -0.003504106245667413, -0.002452880699809284, -0.0017441635639138917, -0.0012624191102707715, -0.0009330698478541865, -0.0007074017308153574, -0.00055309570350963, -0.0004482225095485022, -0.0003773897098070445, -0.00032924832679143455, -0.0002948850755768222, -0.0002668231566982742])","array('d', [1.0640555779126029, 1.0374230441625933, 1.0120437553531074, 0.9882394188495012, 0.9661698615133818, 0.9458805400193122, 0.927341818960195, 0.9104779556245498, 0.8951870651556697, 0.8813542926886608, 0.8688602769034232, 0.8575865121194161, 0.8474187362741775, 0.8382490939767006, 0.8299775558872745, 0.8225128843980376])",-204.14530675111695,-250.51971804359994,-49.88961595482861,0.4595471928349488,-0.002452880699809284,0.9458805400193122,25.000000248952805,-1.0,"[-259.1960758795593, -217.5547667703107, 49.93715413231831]","[-261.5676322639872, -185.27600682891202, 73.44156599394624]","[-225.8158764206376, -199.17350827897576, 62.098224001262]",10000000000.0,0.020016908645629883
2,-254.060302734375,-210.15859985351562,50.07777404785156,0.5037108659744259,-0.017849911004304924,1.0216714302685599,23.204099695154586,"array('d', [-210.15859985351562, -208.0404863052043, -205.95034533127657, -203.88770647007678, -201.85164172508394, -199.84091211221735, -197.85408087952746, -195.88960089555076, -193.94588112643075, -192.0213362073398, -190.11442248543304, -188.22366330773775, -186.34766575780037, -184.4851305480391, -182.63485636783594, -180.79574303754353])","array('d', [-254.060302734375, -252.7329076536646, -251.36159925036284, -249.9491352941029, -248.49856777407524, -247.01305002792208, -245.49569993282788, -243.9495102581076, -242.3772946481989, -240.78165885750772, -239.16498913920202, -237.52945194323553, -235.87700091212102, -234.20938852271541, -232.52818067851078, -230.83477628955504])","array('d', [-50.07777404785156, -50.114691111132174, -50.139186769338075, -50.15563660191179, -50.16681607029264, -50.174505144842186, -50.17985887028232, -50.183636295260776, -50.18634302039156, -50.18832060005787, -50.189802917747414, -50.190951799980525, -50.19187941052284, -50.19266212431487, -50.193348880995366, -50.19396601908977])","array('d', [0.5037108659744259, 0.48917915213401597, 0.468199758642509, 0.44288404769630846, 0.41493778286743427, 0.38570037373451466, 0.3561967154015597, 0.3271906197392782, 0.29923380727494836, 0.27270793388737047, 0.24785918577222563, 0.224826001604112, 0.20366088153994258, 0.18434731093113785, 0.16681274062414944, 0.15093842319282177])","array('d', [0.017849911004304924, 0.01178601618205924, 0.007876062151495746, 0.005326435181922233, 0.0036452163788754785, 0.002524744916573305, 0.0017708158074424816, 0.0012596525492572183, 0.0009115352575212994, 0.0006744831300585372, 0.0005140474669065634, 0.00040684666609530466, 0.0003364166898625082, 0.0002905199961533798, 0.00025940441965643235, 0.00023471876429159559])","array('d', [1.0216714302685599, 1.0004209668332882, 0.9800652804492767, 0.9608502649544713, 0.9429153159183675, 0.9263200314292452, 0.9110672820689424, 0.8971214139198138, 0.8844218295641021, 0.872892782438956, 0.8624503134548318, 0.8530071381217254, 0.8444761128019307, 0.8367727392221649, 0.8298170299285974, 0.8235349445716202])",-199.84091211221735,-247.01305002792208,-50.174505144842186,0.38570037373451466,0.002524744916573305,0.9263200314292452,25.00000024895965,-1.0,"[-253.27751598384992, -208.8793312789538, 50.10454749254903]","[-252.25674466599156, -173.86764183324027, 69.42136990394859]","[-218.1429160110099, -192.4461731092407, 59.87753052321586]",10000000000.0,0.02080678939819336
3,-250.37857055664062,-205.40919494628906,50.36260986328125,0.4206515252590178,-0.019340438768267708,0.9830158511784414,23.18699255489688,"array('d', [-205.40919494628906, -203.34117022972538, -201.29711097013362, -199.27655984826796, -197.27868873573922, -195.30242079524342, -193.34652095616357, -191.4096651853836, -189.4904937243504, -187.5876515528301, -185.6998184927565, -183.82573085524425, -181.96419614795366, -180.1141020436864, -178.27442055067652, -176.44421243432907])","array('d', [-250.37857055664062, -248.97446523758546, -247.53537094346063, -246.06331531357293, -244.56056163994214, -243.0294800263278, -241.47244818304597, -239.89178084553, -238.28968281266657, -236.66822004851173, -235.02930401685506, -233.37468547133525, -231.70595492056947, -230.02454780354182, -228.33175303145742, -226.6287280036476])","array('d', [-50.36260986328125, -50.40239498287297, -50.42839032812223, -50.445476318761465, -50.45674165121767, -50.46416434975928, -50.4690274872559, -50.47217513169267, -50.4741712358783, -50.47539897587782, -50.47612311605085, -50.476529087144414, -50.47674714676935, -50.476866816555734, -50.47694491928606, -50.47700947586957])","array('d', [0.4206515252590178, 0.4090794803121348, 0.39216821519565337, 0.3715914773994259, 0.3487163293684829, 0.3246336478943169, 0.30019478012103445, 0.2760487078630549, 0.25267641661262125, 0.23042092549699075, 0.20951255697509064, 0.19008964816930812, 0.17221519654700607, 0.155890026241742, 0.14106304953192852, 0.12763913707943636])","array('d', [0.019340438768267708, 0.012601480090079883, 0.008267486702641505, 0.005448443888894977, 0.0035947766458930223, 0.002363924298458032, 0.0015403274597607542, 0.000987019048362844, 0.0006160529169401031, 0.0003702397677101352, 0.00021171685158973282, 0.00011467880937141855, 6.066986582713106e-05, 3.5486078113812455e-05, 2.7135411306455427e-05, 2.4553055490917532e-05])","array('d', [0.9830158511784414, 0.9657377426194668, 0.949124532337083, 0.9333731523378386, 0.9186040191479015, 0.9048781112412068, 0.892212058235539, 0.8805905415105065, 0.8699760297927812, 0.8603162140848541, 0.8515496067277566, 0.8436097467405023, 0.8364283821496311, 0.8299379192872064, 0.8240733565494202, 0.8187738491105926])",-195.30242079524342,-243.0294800263278,-50.46416434975928,0.3246336478943169,0.002363924298458032,0.9048781112412068,25.000000248966067,-1.0,"[-252.7861426680736, -208.257865645925, 50.14207783482414]","[-251.5616486659804, -173.04370308563568, 69.07520672617107]","[-217.55464356265233, -191.8777820582432, 59.65177459367285]",10000000000.0,0.017863750457763672
4,-246.8626708984375,-201.06236267089844,50.63031768798828,0.36361941695213296,-0.003156872931867891,0.9592899839070179,23.21344529521248,"array('d', [-201.06236267089844, -199.02610316534665, -197.01108536388077, -195.0168403912703, -193.04262012874088, -191.0874752885812, -189.1503222104922, -187.22999831709194, -185.32530692155973, -183.43505249673095, -181.5580676476255, -179.69323298426943, -177.83949095741085, -175.99585455441908, -174.16141158868135, -172.33532949437935])","array('d', [-246.8626708984375, -245.41232751775522, -243.9326022503584, -242.4249918471427, -240.89124828008715, -239.33325778075067, -237.75294975319966, -236.1522309667861, -234.5329399664614, -232.89681705648943, -231.24548599062848, -229.58044433961098, -227.9030602621848, -226.21457402807536, -224.51610312642086, -222.80865418446433])","array('d', [-50.63031768798828, -50.63642156793755, -50.639651959933566, -50.64103838885543, -50.64123358956401, -50.640657848491195, -50.639586957714016, -50.63820629228269, -50.636644289177816, -50.634993198485006, -50.63332178311823, -50.6316827464479, -50.630116545272735, -50.62865260152913, -50.62730859106706, -50.62608836685783])","array('d', [0.36361941695213296, 0.35491948844633164, 0.3413284998068499, 0.32430474880922805, 0.3050509438378799, 0.28453898111792103, 0.2635387052067567, 0.24264700427458716, 0.2223149685217251, 0.20287194769776676, 0.18454610121909978, 0.16748149026888437, 0.15175199975761824, 0.1373724767068963, 0.12430748840741897, 0.11247807704061147])","array('d', [0.003156872931867891, 0.0017497105078842531, 0.0008496191859787127, 0.00026920645323964717, -0.0001067737876960554, -0.00034976548576652145, -0.0005043680754354022, -0.000598592464744626, -0.0006501500057086609, -0.0006703850702862891, -0.0006668069988346552, -0.0006447897106084091, -0.0006087721439115644, -0.0005631440735828827, -0.0005129024676531002, -0.000464093468687486])","array('d', [0.9592899839070179, 0.9445557979114607, 0.9303202312273267, 0.9167618138751346, 0.903995995010113, 0.8920879469314663, 0.8810641197959476, 0.8709220235457765, 0.8616381752757771, 0.8531743959219181, 0.8454827360381554, 0.838509320084938, 0.8321973672296656, 0.8264896011821076, 0.8213302160676513, 0.8166665148271316])",-191.0874752885812,-239.33325778075067,-50.640657848491195,0.28453898111792103,-0.00034976548576652145,0.8920879469314663,25.000000248969467,-1.0,"[-249.54695307381684, -204.16116816416192, 50.39161871288226]","[-246.98192706600062, -167.74368332300043, 66.73748789818406]","[-213.70121287594347, -188.25353632122605, 58.267541440802965]",10000000000.0,0.01969289779663086
5,-242.96861267089844,-196.37530517578125,50.857666015625,0.3115561902523038,0.010329858399927545,0.9342876831677295,23.283002211094665,"array('d', [-196.37530517578125, -194.37431447307415, -192.39190478007316, -190.42768856131192, -188.48102486165723, -186.55109174221158, -184.63694596046557, -182.7375719451226, -180.85192140548213, -178.97894473083198, -177.11761524884417, -175.2669473139272, -173.42600907637242, -171.59393065371833, -169.7699082998475, -167.95320865237622])","array('d', [-242.96861267089844, -241.47012402657685, -239.9470592263838, -238.40056396212879, -236.832011645954, -235.24290781610532, -233.634814986431, -232.00929610323314, -230.36787361969698, -228.71200109830912, -227.04304460028226, -225.36227161541373, -223.67084578104615, -221.96982607353925, -220.2601695116285, -218.54274007951062])","array('d', [-50.857666015625, -50.835713638704796, -50.81999940186193, -50.808326038201876, -50.79931091471011, -50.792075750473785, -50.78605824039859, -50.78089658331354, -50.77635794937701, -50.77229358737979, -50.76861011697632, -50.76525060197522, -50.76218142910821, -50.759382506297705, -50.75683925068536, -50.754535506221345])","array('d', [0.3115561902523038, 0.3051258236962636, 0.29427781145602716, 0.2802781191528423, 0.2641778917738474, 0.24683438538052077, 0.2289342185044855, 0.21101661382031778, 0.19349511905671765, 0.17667698779381186, 0.16077989885496632, 0.14594601087429068, 0.1322535280841859, 0.11972603804141954, 0.10833990717517261, 0.09803001075754196])","array('d', [-0.010329858399927545, -0.0072831014629385704, -0.005321102744218775, -0.004039010520629803, -0.0031873120767554803, -0.0026104506131367075, -0.0022102384162319263, -0.0019238673975094799, -0.001710599451045017, -0.0015436761633428875, -0.001405407790523989, -0.0012842265388534654, -0.0011729683565727678, -0.0010679227092333637, -0.0009683432957324996, -0.000876193408859622])","array('d', [0.9342876831677295, 0.9217920431189713, 0.9096702666787875, 0.8980815545435704, 0.8871328078387072, 0.8768885048365831, 0.8673797008716002, 0.8586117978345004, 0.850571016663739, 0.843229671841721, 0.8365504217594039, 0.8304896868663398, 0.8250004152670233, 0.8200343502119587, 0.8155439257425535, 0.8114838825715137])",-186.55109174221158,-235.24290781610532,-50.792075750473785,0.24683438538052077,-0.0026104506131367075,0.8768885048365831,25.000000248973056,-1.0,"[-245.3385625822736, -199.0459899869038, 50.66990569798261]","[-241.6605079364274, -161.69792844575576, 64.5116618416512]","[-209.00528658848907, -183.36824098084116, 56.50953254071683]",10000000000.0,0.01885676383972168
6,-239.2990264892578,-192.0880584716797,51.05998992919922,0.27390351891517617,0.008862306363880561,0.9145168224957325,23.3415794840385,"array('d', [-192.0880584716797, -190.115840800259, -188.16028016649332, -186.22103158427737, -184.29752444661324, -182.38902560643604, -180.49469198445158, -178.61361413077557, -176.74485174492006, -174.88746206023518, -173.0405219506255, -171.20314455089792, -169.37449109354966, -167.5537785652745, -165.740283686682, -163.9333472223946])","array('d', [-239.2990264892578, -237.76282038736278, -236.20541073391163, -234.62770884547464, -233.03083810248765, -231.41605112454226, -229.78466392041412, -228.13800546699446, -226.47738037420316, -224.8040422208285, -223.1191753947385, -221.42388363293904, -219.71918382890195, -218.00600400933644, -216.2851846635163, -214.55748626087328])","array('d', [-51.05998992919922, -51.040932982051054, -51.02686971785172, -51.016045425833234, -51.007358619661325, -51.00011221064093, -50.99386270992497, -50.98832792979222, -50.98332983952077, -50.97875862711683, -50.9745495151036, -50.97066712591505, -50.96709414268834, -50.96382222320348, -50.96084393167519, -50.95814506041643])","array('d', [0.27390351891517617, 0.26897595626623816, 0.25999380378321946, 0.24808788153640884, 0.23420096364343607, 0.21910633528484105, 0.20342772526987668, 0.187658989282827, 0.17218246415345295, 0.15728538964385774, 0.14317414878386836, 0.12998631269222272, 0.11780061471001371, 0.10664504895896823, 0.09650331364317351, 0.0873198170576515])","array('d', [-0.008862306363880561, -0.006424077169370846, -0.004852806502331445, -0.003823820009827517, -0.0031370949219875826, -0.0026678680463124637, -0.002337253023578204, -0.0020946222313284286, -0.0019069828146849879, -0.001752565108367978, -0.001616987762352845, -0.0014910260995415754, -0.0013693905516071656, -0.0012501351765254257, -0.001134428800826723, -0.0010264738020442825])","array('d', [0.9145168224957325, 0.9035977003020371, 0.8929734263973802, 0.8827887637617786, 0.8731431255298535, 0.8640987632904579, 0.8556882493655376, 0.8479210046781154, 0.8407888193034505, 0.8342704311509656, 0.8283352860207125, 0.8229466201110683, 0.818064001108834, 0.8136454482157993, 0.8096492321810621, 0.8060354304293883])",-182.38902560643604,-231.41605112454226,-51.00011221064093,0.21910633528484105,-0.0026678680463124637,0.8640987632904579,25.00000024897574,-1.0,"[-238.3838022525329, -190.8997033542712, 51.04669664366515]","[-233.09233877363266, -152.71658554476335, 61.7261127605093]","[-201.4028689760725, -176.13772341915688, 54.85386388418257]",10000000000.0,0.018738269805908203
7,-235.28123474121094,-187.5247802734375,51.31128692626953,0.23715196549892398,0.007685882505029364,0.8938990990307667,23.377223677222588,"array('d', [-187.5247802734375, -185.58343937882762, -183.6568250082753, -181.74463806977425, -179.84637932814488, -177.9614043867186, -176.08896993857206, -174.22827230822614, -172.378479066744, -170.53875445126798, -168.70827928923063, -166.88626607798923, -165.07196980222403, -163.26469499300643, -161.46379945236268, -159.66869857408912])","array('d', [-235.28123474121094, -233.70615844648822, -232.1130653123738, -230.5026639693681, -228.87585686551634, -227.23366929051144, -225.57719241304937, -223.90753900478552, -222.22581001102597, -220.533070092179, -218.83033044230368, -217.11853745590497, -215.3985660906185, -213.6712170273651, -211.9372169473852, -210.19722488684468])","array('d', [-51.31128692626953, -51.29448452834854, -51.281572288278305, -51.27119001409585, -51.26248679584615, -51.254927255944565, -51.24817435530973, -51.24201777837215, -51.23632960401462, -51.231036309303725, -51.226100433149206, -51.22150775090838, -51.217257333459806, -51.21335283188452, -51.2097940112281, -51.206568123487735])","array('d', [0.23715196549892398, 0.23356123373036378, 0.2262942071532854, 0.2163505921903159, 0.2045667233463376, 0.1916319625534916, 0.1781057573693166, 0.16443425642499782, 0.15096573692804258, 0.1379644190897985, 0.1256224877389043, 0.11407030938005125, 0.10338493627783239, 0.09359704440928569, 0.08469647445910707, 0.07663654620755737])","array('d', [-0.007685882505029364, -0.005787802678695869, -0.004562476728204185, -0.0037568068140650616, -0.0032148232310973707, -0.002839085928166318, -0.002567767247904697, -0.002360949374188403, -0.002192405643291171, -0.0020446973201748383, -0.0019063146316011215, -0.001770105434754188, -0.0016325252429292582, -0.0014933981755603446, -0.0013559521592119744, -0.001226916443794275])","array('d', [0.8938990990307667, 0.8844905487213051, 0.8753082209566962, 0.8664822355455473, 0.8581036399075375, 0.850231204220985, 0.8428976286114851, 0.8361149994491666, 0.8298794604616413, 0.8241751454403247, 0.8189774613114522, 0.8142558253259912, 0.8099759588348844, 0.8061018304432502, 0.8025973283934419, 0.7994277224781531])",-177.9614043867186,-227.23366929051144,-51.254927255944565,0.1916319625534916,-0.002839085928166318,0.850231204220985,25.000000248978367,-1.0,"[-237.81429001700033, -190.25945483815045, 51.08228128177476]","[-232.4075809683068, -152.03643248257356, 61.559306588026786]","[-200.78916530078436, -175.58274857536964, 54.78828088035855]",10000000000.0,0.016685962677001953
8,-231.54434204101562,-183.3818359375,51.562034606933594,0.21133498847484566,0.009679036214947607,0.876392261185918,23.381744184362393,"array('d', [-183.3818359375, -181.46753886431372, -179.5665734548943, -177.67866612798323, -175.80336057799732, -173.94006925013008, -172.08811570585345, -170.2467695638956, -168.41527503646753, -166.59287384225783, -164.77882316789857, -162.9724092710792, -161.1729572443587, -159.37983738483896, -157.59246854313542, -155.81032231527888])","array('d', [-231.54434204101562, -229.93655410573146, -228.31296704293882, -226.67418469215582, -225.02098027364238, -223.35423679221145, -221.67489827948594, -219.98393132501423, -218.28229562228412, -216.57092210072284, -214.85069730494845, -213.12245286765645, -211.38695913070904, -209.64492216668089, -207.89698362650464, -206.14372647392636])","array('d', [-51.562034606933594, -51.540931725625526, -51.52481700715115, -51.51194227562462, -51.50121421539606, -51.49194480187796, -51.483700457474946, -51.476209937425544, -51.46930735866953, -51.46289627147627, -51.45692620123668, -51.45137634409051, -51.4462430605917, -51.44152905165238, -51.43723296666403, -51.43333890163985])","array('d', [0.21133498847484566, 0.2082840824225032, 0.20192949596261878, 0.19316236872337622, 0.18272885688366242, 0.1712451052358683, 0.15921241250676005, 0.1470317983313593, 0.13501743903067806, 0.1234086712280822, 0.11238044140697243, 0.10205220360692553, 0.09249534499845696, 0.08373926140552097, 0.07577622249751331, 0.06856516772334789])","array('d', [-0.009679036214947607, -0.007244093051485365, -0.005673965068511958, -0.004643063527045695, -0.003950956801405149, -0.003472571421953463, -0.0031286532616275264, -0.002868117949045833, -0.002657466119160143, -0.002474462084912138, -0.002304434994957998, -0.002138227010019263, -0.0019711891628392425, -0.0018028287773145435, -0.0016368103929924882, -0.0014810475058438367])","array('d', [0.876392261185918, 0.8680374018354609, 0.8598763584788196, 0.8520251536228637, 0.8445655541563475, 0.8375509481043977, 0.8310116847546116, 0.8249597741710535, 0.8193929315434317, 0.814298008755841, 0.8096538854867859, 0.8054339030700018, 0.8016079235346935, 0.7981440891815167, 0.7950103483893801, 0.7921757976415841])",-173.94006925013008,-223.35423679221145,-51.49194480187796,0.1712451052358683,-0.003472571421953463,0.8375509481043977,25.000000248980488,-1.0,"[-230.5844955794289, -182.22923713985085, 51.547516279302194]","[-223.78577502897232, -143.67448467990218, 59.751689706825545]","[-193.04980709166173, -168.63969258611357, 54.09141858644131]",10000000000.0,0.018538713455200195
9,-227.45228576660156,-178.94448852539062,51.82857894897461,0.18821631371974926,0.011899292469024575,0.8619739572193961,23.383936584951122,"array('d', [-178.94448852539062, -177.0528409514813, -175.1732260023358, -173.3054128232758, -171.44899802256728, -169.60345540899783, -167.7681758207488, -165.9424995502693, -164.1257426836428, -162.31721822018218, -160.5162526404639, -158.72219847945402, -156.93444337819943, -155.15241601486974, -153.37558924936064, -151.60348429073053])","array('d', [-227.45228576660156, -225.81797678497367, -224.16975611052024, -222.50812942406296, -220.83375412093204, -219.14738893793034, -217.4498515054867, -215.74198419730095, -214.02462755878594, -212.29860026898416, -210.56468457954728, -208.8236162879015, -207.07607845493902, -205.32269823232969, -203.56404630481595, -201.80064208282104])","array('d', [-51.82857894897461, -51.80269100772923, -51.783022800274196, -51.7673907717451, -51.754429569039786, -51.743279818553745, -51.73339951521753, -51.72444890351281, -51.71621932126313, -51.70858837463325, -51.701490741343115, -51.694897977773756, -51.68880315776951, -51.68320771621275, -51.678108940707936, -51.673487419263445])","array('d', [0.18821631371974926, 0.18589153359942062, 0.18052338586281091, 0.1729202557313067, 0.16376026502763144, 0.15360486358229888, 0.14291236778053548, 0.13205085442032238, 0.12131001018814659, 0.11091171091924404, 0.10101924094897374, 0.09174515883245919, 0.08315787693608045, 0.07528705675261498, 0.068127936823798, 0.061644712035133574])","array('d', [-0.011899292469024575, -0.008862104811729068, -0.0069052697429580956, -0.0056218453839665325, -0.0047615154660444374, -0.004168212018772196, -0.0037431422185289056, -0.003422707884972468, -0.0031652644274020813, -0.0029432066736682105, -0.002738325368043863, -0.0025392131454176382, -0.0023399713969819253, -0.0021397260406319394, -0.0019425858493671761, -0.0017577246052865522])","array('d', [0.8619739572193961, 0.8545479238818051, 0.847279134095435, 0.840273999234574, 0.8336082502933844, 0.8273321049858419, 0.8214749539093366, 0.8160494957329996, 0.8110553161765196, 0.806481947606232, 0.802311468747096, 0.798520712685395, 0.7950831511233033, 0.7919705177073431, 0.7891542259170307, 0.7866066240978895])",-169.60345540899783,-219.14738893793034,-51.743279818553745,0.15360486358229888,-0.004168212018772196,0.8273321049858419,25.00000024898202,-1.0,"[-229.90847751881643, -181.5014110199929, 51.59079037069449]","[-223.0164363898544, -142.93087850004412, 59.64149159507667]","[-192.3413020565365, -167.98626748130349, 54.050103875495104]",10000000000.0,0.01986217498779297
