,x_pos,y_pos,z_pos,roll,pitch,yaw,vel,x_traj,y_traj,z_traj,roll_traj,pitch_traj,yaw_traj,x_cmd,y_cmd,z_cmd,roll_cmd,pitch_cmd,yaw_cmd,vel_cmd,effector_dmg,effector_x,effector_y,effector_z,cost,time_solution
0,-251.9322052001953,-334.1910095214844,49.9930305480957,0.6275565624237058,0.040497928857803386,2.285869018235479,23.071551435915392,"array('d', [-334.1910095214844, -332.28415687129086, -330.3283242296478, -328.3253276202311, -326.27678624490267, -324.18375235831707, -322.0476352612725, -319.87077002058317, -317.65683037342086, -315.41018850270257, -313.13525903639004, -310.8361278743388, -308.51639287370733, -306.17913103772173, -303.8269302389025, -301.46195288150875])","array('d', [-251.9322052001953, -253.54049166140948, -255.09405276931398, -256.5886569510752, -258.0206327410337, -259.3870476553883, -260.6852807871012, -261.9141139479079, -263.0749427041074, -264.17123960437596, -265.2076405168889, -266.18924732759484, -267.12117028029286, -268.0082609878316, -268.85497772526196, -269.6653373506605])","array('d', [-49.9930305480957, -49.90146549454317, -49.82688829164021, -49.76637317387593, -49.71735049698702, -49.67760750086569, -49.64528917680475, -49.61886012679937, -49.59706449754512, -49.5788874365182, -49.56351932235884, -49.55032371704132, -49.53881001288041, -49.52861121789277, -49.51946667672682, -49.51120900744234])","array('d', [0.6275565624237058, 0.6425771647022771, 0.6561683689073218, 0.6684662001256605, 0.6795937389433494, 0.6896623531946774, 0.6906309990767413, 0.6708638216761588, 0.637016177758296, 0.5947566397238624, 0.5485082019288549, 0.5014965274124316, 0.45592616831919347, 0.4131710683250984, 0.3739315363219742, 0.3383472764924295])","array('d', [-0.040497928857803386, -0.03300428814123935, -0.0267944913256311, -0.021707249239803845, -0.017582246876331847, -0.014268778917457722, -0.011630617576482098, -0.00954776601956479, -0.0079161781841565, -0.006646775763213326, -0.005664184945824043, -0.00490501297772968, -0.0043158120028560076, -0.0038510005940564133, -0.0034709879960248564, -0.0031406801821813194])","array('d', [2.285869018235479, 2.256901620391885, 2.2270900591189213, 2.196482642944954, 2.165129872487192, 2.133090563570628, 2.1006941603874107, 2.068922744037039, 2.038860642264229, 2.0111043532824766, 1.9858772882805618, 1.9631634999215182, 1.9428133970012136, 1.9246142456550086, 1.908333907870131, 1.8937480361929668])",-324.18375235831707,-259.3870476553883,-49.67760750086569,0.6896623531946774,-0.014268778917457722,2.133090563570628,25.000000243201207,-1.0,"[-251.05685058507095, -335.3591096018237, 49.93134729070978]","[-289.19676590125096, -326.5595426312573, 58.17237154775037]","[-259.7746341289265, -303.97691210100714, 73.15112183962015]",10000000000.0,-100.0
1,-255.4950714111328,-329.3717956542969,49.9835205078125,0.6441491246223446,0.02539022080600265,2.237715737023626,23.116841251369824,"array('d', [-329.3717956542969, -327.38616642184616, -325.3544106078103, -323.2782927695874, -321.1589167792204, -318.9976293982075, -316.79612842608543, -314.55699630009747, -312.2840042377433, -309.9814750298474, -307.6536737122249, -305.3044805990471, -302.9372651820985, -300.55487495700123, -298.15967963602367, -295.75364090454264])","array('d', [-255.4950714111328, -257.0109441512102, -258.46675006803343, -259.85882436668385, -261.18428466233786, -262.440359738217, -263.6246179302496, -264.73615261197705, -265.776761058259, -266.75033193896604, -267.6618833661981, -268.5168464214937, -269.3206058348443, -270.0782391284873, -270.7943902680589, -271.47322978475216])","array('d', [-49.9835205078125, -49.92642943785796, -49.88061842094684, -49.84395559888178, -49.814626664056725, -49.791127786439766, -49.77222715086741, -49.75692591400334, -49.74442179164197, -49.734076681511006, -49.72538848040683, -49.71796715335739, -49.71151516798524, -49.70581214831805, -49.70070328801242, -49.696090823609424])","array('d', [0.6441491246223446, 0.6575907372007675, 0.6697532123129244, 0.6807582758704529, 0.690716070028995, 0.6997262554386615, 0.6990771438560534, 0.6779252087214153, 0.6429528090267159, 0.5998127515542646, 0.5528872317479462, 0.5053531763112961, 0.45936934388597483, 0.4162723156552905, 0.37673582193233174, 0.3408846992733475])","array('d', [-0.02539022080600265, -0.020390787349878783, -0.01632787991439764, -0.013057990292396435, -0.010449221722770246, -0.008384602339636789, -0.006763101543067054, -0.005499051938671642, -0.0045206103163117125, -0.0037680556334924445, -0.003192126907303588, -0.0027522809485100008, -0.0024149405627947066, -0.0021518676769918753, -0.0019387781399104738, -0.0017542792468852946])","array('d', [2.237715737023626, 2.2078101858821935, 2.1771172627174558, 2.1456856850078814, 2.113573842929835, 2.080836344983371, 2.0478254231478017, 2.01554757143508, 1.985078950955772, 1.9569979007325462, 1.9315084661373099, 1.9085784852522174, 1.88804634332722, 1.8696909854983113, 1.853274725313239, 1.8385695078368964])",-318.9976293982075,-262.440359738217,-49.791127786439766,0.6997262554386615,-0.008384602339636789,2.080836344983371,25.00000024471393,-1.0,"[-255.93025071864932, -328.8766507506136, 49.943666378744965]","[-293.1584044907867, -317.7976152161975, 59.499792076183184]","[-261.90931334370583, -297.2938664911168, 73.75077768070119]",10000000000.0,0.01854085922241211
2,-258.5066833496094,-324.65625,50.01528549194336,0.6878402233123776,-0.01469105482101436,2.1903600255635123,23.207267799243787,"array('d', [-324.65625, -322.5979021365289, -320.4940106729106, -318.346146377685, -316.1560979494275, -313.925860757607, -311.65773011458174, -309.3547726091792, -307.0210742459202, -304.66109088967903, -302.2790701306177, -299.8787713970368, -297.4633833828037, -295.03554549887787, -292.5974135572186, -290.1507444918462])","array('d', [-258.5066833496094, -259.92498152288306, -261.2749416832019, -262.5538736929215, -263.7592024151277, -264.88847362643264, -265.93959258657566, -266.9120760027672, -267.8083355298991, -268.63295928524565, -269.3916371525579, -270.0903913549291, -270.7351043444647, -271.3312648573848, -271.88385533046505, -272.39732604496993])","array('d', [-50.01528549194336, -50.048114778608884, -50.074062843068084, -50.09453781775341, -50.11069618578859, -50.123475698689816, -50.13362886302388, -50.141754326564104, -50.14832458263013, -50.153709535552984, -50.158196186724204, -50.16200473276853, -50.1653013012671, -50.16820765499199, -50.17080832610226, -50.17315573009302])","array('d', [0.6878402233123776, 0.6971240816696828, 0.7055244648312939, 0.7131254464855964, 0.7200030996220188, 0.7262262576714938, 0.723352718059678, 0.6998322560227076, 0.6625679247770021, 0.6173406910888263, 0.5685771951538465, 0.5194455834240761, 0.47207062302677205, 0.4277486050950554, 0.38711781374740695, 0.3502787147842267])","array('d', [0.01469105482101436, 0.01162429923818017, 0.009175382898287862, 0.007237116543327105, 0.005715059956623634, 0.00452839139066761, 0.0036094916921306968, 0.0029026816575065295, 0.002362539900050723, 0.0019522698795532527, 0.0016422251282712423, 0.0014085116697438156, 0.0012316935505728313, 0.001095659256761357, 0.0009866957195461303, 0.000892799060845276])","array('d', [2.1903600255635123, 2.1578042281780037, 2.1246588565589484, 2.0909723800292443, 2.056789849813506, 2.0221530520190796, 1.9874046263612242, 1.9535786074444814, 1.921782855679111, 1.89258497236802, 1.8661586641364927, 1.8424379738622045, 1.8212315809080553, 1.8022949203272407, 1.785372604992922, 1.7702234273278181])",-313.925860757607,-264.88847362643264,-50.123475698689816,0.7262262576714938,0.00452839139066761,2.0221530520190796,25.000000238242922,-1.0,"[-257.92965002316777, -325.7675679677768, 49.99266317541167]","[-294.70592908690634, -313.50663138593376, 59.85038767765095]","[-262.6941899113168, -294.557894805823, 74.55392252378908]",10000000000.0,0.019964218139648438
3,-261.4381103515625,-319.3103942871094,50.17491149902344,0.7136151790618892,-0.032815322279930094,2.1358763734486437,23.255882592250202,"array('d', [-319.3103942871094, -317.1775002420581, -315.0006736416801, -312.7821329436024, -310.5242365814654, -308.2294873141714, -305.9006351057306, -303.5411080175119, -301.1551249667477, -298.74706409116783, -296.3209583355109, -293.88028065510485, -291.42790749238156, -288.96616854365703, -286.49692780534195, -284.0216726911018])","array('d', [-261.4381103515625, -262.73997018893357, -263.9678142066319, -265.11912511175126, -266.1915511106583, -267.18289588532826, -268.0913887993613, -268.9170677255059, -269.6629708393038, -270.33429450891674, -270.9372564339244, -271.47831085852545, -271.9636846863186, -272.3991395153143, -272.78987516344847, -273.1405180185391])","array('d', [-50.17491149902344, -50.24762303585017, -50.30403673470607, -50.34773511546084, -50.38158663114008, -50.40786340622001, -50.428349872454405, -50.444437855548635, -50.45720637902868, -50.46748684124132, -50.47591542973379, -50.48297443311665, -50.48902381394381, -50.49432447095535, -50.49905473949961, -50.5033217435419])","array('d', [0.7136151790618892, 0.7204462282359929, 0.7266272176839671, 0.7322200087070664, 0.7372805757164728, 0.7418595663521768, 0.7364741911872333, 0.710799390621227, 0.6717875050101172, 0.6251949930259791, 0.5753829607391001, 0.5254422436076195, 0.47742598556330035, 0.4325727409557813, 0.39148009772348386, 0.3542258729192881])","array('d', [0.032815322279930094, 0.025484533969234436, 0.019746047346100012, 0.015288821805454307, 0.011850588087933357, 0.009215188673003314, 0.007207659928575048, 0.0056881647034029625, 0.00454575659105034, 0.0036928644668480335, 0.0030605671263278186, 0.002594419352948203, 0.002250821897870139, 0.0019939913049643416, 0.0017935691990862254, 0.0016228885875077675])","array('d', [2.1358763734486437, 2.1016616684014964, 2.066995422306762, 2.031916110637655, 1.9964592788004567, 1.9606577083634213, 1.9248910459743205, 1.8902331639183136, 1.8577760962018908, 1.8280544826467744, 1.80120804982094, 1.777143096535649, 1.7556480972699093, 1.7364646642747457, 1.71932824563374, 1.7039915367602052])",-308.2294873141714,-267.18289588532826,-50.40786340622001,0.7418595663521768,0.009215188673003314,1.9606577083634213,25.00000024647989,-1.0,"[-259.37760937005146, -323.4351839530986, 50.03732128150153]","[-295.77166488926326, -310.27892779846843, 60.155900572008804]","[-263.20990363855884, -292.6368740936894, 75.27177452391166]",10000000000.0,0.024593591690063477
4,-263.8670349121094,-314.2252502441406,50.3697395324707,0.7316496372222898,-0.040628071874380056,2.0867747823384146,23.28765930111715,"array('d', [-314.2252502441406, -312.0307852930738, -309.79462234595843, -307.51948076104827, -305.2081480448125, -302.8635019161386, -300.48862393946564, -298.0871901660604, -295.6634502477826, -293.2216269213977, -290.76548965015405, -288.2982008006578, -285.8223182738306, -283.3398671496944, -280.852431209498, -278.36124552914345])","array('d', [-263.8670349121094, -265.0610335102582, -266.17647943943035, -267.2110451422842, -268.1626057594043, -269.0292151730068, -269.809419746512, -270.50378797946024, -271.1159362851509, -271.6515722266536, -272.11732677892843, -272.51997362044517, -272.8659824430854, -273.1612995912995, -273.41126724407826, -273.6206237677098])","array('d', [-50.3697395324707, -50.45913101660121, -50.527408217223815, -50.57946947917021, -50.61915845509196, -50.649463602815224, -50.67269208846676, -50.690615469244, -50.70458781524766, -50.71563944949101, -50.72455031692005, -50.73190629515434, -50.73814114458898, -50.74356663063812, -50.74839328207253, -50.752744167651535])","array('d', [0.7316496372222898, 0.7367644822715878, 0.7413925858695394, 0.745580267541712, 0.7493694389166038, 0.7527980230812245, 0.7449943844184559, 0.7174033404399492, 0.6769605942335939, 0.6293463881274178, 0.5788242734781224, 0.5283917028161337, 0.48002432517725513, 0.4349026168524466, 0.39358556314336485, 0.3561309769861152])","array('d', [0.040628071874380056, 0.031060247058076727, 0.023691357523850806, 0.018054747800338417, 0.013769281064390017, 0.010529487541773777, 0.008094198274279842, 0.006274979227409461, 0.004925469028679109, 0.003932433254751334, 0.003208354937529297, 0.002685164017310622, 0.0023089959146962566, 0.0020359512321020978, 0.0018288275207334844, 0.0016547916391004291])","array('d', [2.0867747823384146, 2.0513566171897772, 2.015590342806392, 1.9795064123150348, 1.9431328280399827, 1.9064953028282452, 1.8700246925418311, 1.8348355675821433, 1.8019876176702299, 1.7719771413763337, 1.7449114775394827, 1.7206736728286576, 1.699036982625157, 1.679733639690229, 1.6624935411163806, 1.6470660946735682])",-302.8635019161386,-269.0292151730068,-50.649463602815224,0.7527980230812245,0.010529487541773777,1.9064953028282452,25.00000024694884,-1.0,"[-262.24090304691634, -318.04425770057463, 50.22412564866196]","[-297.6624273513535, -303.26215533901535, 61.48490118689877]","[-263.89878504376037, -287.79462969078253, 76.34330313482603]",10000000000.0,0.022517681121826172
5,-266.18975830078125,-308.626220703125,50.59913635253906,0.7454413771629331,-0.0433844812214374,2.0338643352177477,23.288613353388637,"array('d', [-308.626220703125, -306.37135183781623, -304.07803316595465, -301.7493842361835, -299.3885330817936, -296.99865416821325, -294.5830888015242, -292.1456805099602, -289.6906115022389, -287.2218517047312, -284.74282340343797, -282.2563115311003, -279.7645038051544, -277.26908118463086, -274.7713168977822, -272.2721701163513])","array('d', [-266.18975830078125, -267.2648575787127, -268.25727338490776, -269.1649182154544, -269.9859280572864, -270.7186296451253, -271.36191946230616, -271.9169803115845, -272.3880406391397, -272.7812972935956, -273.1037440907276, -273.3624140798393, -273.56396028664193, -273.7144594570675, -273.8193482897218, -273.88343569312883])","array('d', [-50.59913635253906, -50.69389898983297, -50.7650862467569, -50.81845158866153, -50.8584209199236, -50.88837321090906, -50.91087387374877, -50.9278629805478, -50.94080323612968, -50.95079437628383, -50.958660511827546, -50.96501553255286, -50.97031065782873, -50.97486771064613, -50.97890134566336, -50.98253318644949])","array('d', [0.7454413771629331, 0.7492437657596636, 0.7526843095417817, 0.7557974425580368, 0.7586143220096413, 0.7611631399336384, 0.7506260379612345, 0.7210281132524289, 0.679218004324959, 0.6307366873720636, 0.5797040863185199, 0.5289944199925076, 0.4804881171021633, 0.43529802592398126, 0.39394029041930195, 0.35645194752765014])","array('d', [0.0433844812214374, 0.03262367339491063, 0.02447000851126841, 0.01832803528987871, 0.013725597965988892, 0.010294064516372499, 0.007749167444542182, 0.0058735141082363095, 0.004501623170703693, 0.003507887963268041, 0.0027968917588949956, 0.0022954946031667266, 0.0019464318270969118, 0.0017032688617719272, 0.0015265879157864933, 0.0013813139106223372])","array('d', [2.0338643352177477, 1.9975003919929442, 1.9608716492134755, 1.9240017587241158, 1.886912385795749, 1.8496233543203855, 1.8126389374871714, 1.7771213192907382, 1.7440767907484234, 1.7139528093357017, 1.6868214164571513, 1.6625434431170036, 1.6408794785319125, 1.6215552051500803, 1.6042975521669354, 1.5888548043025892])",-296.99865416821325,-270.7186296451253,-50.88837321090906,0.7611631399336384,0.010294064516372499,1.8496233543203855,25.00000024732362,-1.0,"[-266.85917048294624, -307.285454128727, 50.66419266158145]","[-300.19547028445675, -290.09517695696496, 64.56331084590548]","[-264.4416949671773, -278.0189240292282, 77.8234641552314]",10000000000.0,0.030551433563232422
6,-268.04754638671875,-303.3892517089844,50.82927322387695,0.7551351785659787,-0.04755255207419399,1.983431235947881,23.26729998217325,"array('d', [-303.3892517089844, -301.0830386847689, -298.7418899706724, -296.3692701616877, -293.9685834990534, -291.54323457533224, -289.0967544723103, -286.63307068958915, -284.1562262250952, -281.66989117687103, -279.17711666997815, -276.68030312427925, -274.1812717042883, -271.6813688663265, -269.18156974511874, -266.6825710135087])","array('d', [-268.04754638671875, -269.0066792399511, -269.8798432738817, -270.6651675002557, -271.3610269687415, -271.9659990695567, -272.4793146675959, -272.90277144235665, -273.24116939730374, -273.50112253388846, -273.68990689706317, -273.8147383995776, -273.88238594359757, -273.8989991774652, -273.8700609634683, -273.8004101490397])","array('d', [-50.82927322387695, -50.93248824829795, -51.008917848496786, -51.06537624860438, -51.107016030220365, -51.1377093228972, -51.16035379122632, -51.17711219201941, -51.18959607869394, -51.199004805476186, -51.206229522668934, -51.21192950354554, -51.21658654923, -51.22054226537689, -51.224022324352525, -51.227151327602336])","array('d', [0.7551351785659787, 0.7580150807859628, 0.7606209243005833, 0.762978789212121, 0.7651122737546345, 0.7670427302506645, 0.7537633355482857, 0.7222569196933778, 0.6792367363783426, 0.6300690200948975, 0.5787087702531826, 0.527896087990787, 0.47941165375966444, 0.4342996093202071, 0.39303382983917434, 0.35563174800249375])","array('d', [0.04755255207419399, 0.03524871928405391, 0.02605802448090059, 0.019226585651146624, 0.014171150150846041, 0.010446253626026513, 0.007715134743440955, 0.0057248896429396385, 0.004286261158233138, 0.0032578935154194645, 0.002533964924018455, 0.0020343581663500834, 0.001696909827393432, 0.00147142590733985, 0.0013152278434746954, 0.0011900673912325634])","array('d', [1.983431235947881, 1.946388656832654, 1.9091421842633787, 1.8717103043457535, 1.8341099028701222, 1.79635639065329, 1.7590377920718683, 1.723364504116261, 1.6902782991513514, 1.6601746428168218, 1.6330915095011083, 1.6088703351574472, 1.5872620223958966, 1.5679882983036713, 1.5507752140277895, 1.5353715592202783])",-291.54323457533224,-271.9659990695567,-51.1377093228972,0.7670427302506645,0.010446253626026513,1.79635639065329,25.000000247599917,-1.0,"[-266.85917048294624, -307.285454128727, 50.66419266158145]","[-300.19547028445675, -290.09517695696496, 64.56331084590548]","[-264.4416949671773, -278.0189240292282, 77.8234641552314]",10000000000.0,0.01992344856262207
7,-269.7528076171875,-297.6361083984375,51.08625411987305,0.7632804512977599,-0.05006329715251914,1.9300938407566886,23.236091357390272,"array('d', [-297.6361083984375, -295.28199255479694, -292.8970655321443, -290.48508973780986, -288.04970201893093, -285.5944976529197, -283.1231539893563, -280.63960991646724, -278.14769138739007, -275.6507026921016, -273.15127277586225, -270.65137962629655, -268.1524499143568, -265.6554748102568, -263.1611155888752, -260.66979419092604])","array('d', [-269.7528076171875, -270.5868642018689, -271.33193159465696, -271.98638977470415, -272.548877470737, -273.01824094632815, -273.39407205051924, -273.6788430763199, -273.87794679112653, -273.99839716246146, -274.04771713688746, -274.0332646000412, -273.9618842629163, -273.83976214545805, -273.6723951046031, -273.4646240493058])","array('d', [-51.08625411987305, -51.19422354563819, -51.2729880930152, -51.33027275261681, -51.37182215192734, -51.40188769365245, -51.42360662625612, -51.43929101109197, -51.45064433221804, -51.45892216006583, -51.46505008267488, -51.4697086348497, -51.47339268428666, -51.47645125928479, -51.479112745859695, -51.48149964503845])","array('d', [0.7632804512977599, 0.7653852290003711, 0.7672897107837118, 0.7690129572977216, 0.7705722153078629, 0.7719830898957358, 0.7556839052906732, 0.7221448096892749, 0.6778953727255188, 0.6280864440414125, 0.5764788792627542, 0.5256593258371127, 0.47729660335632496, 0.4323590333971121, 0.3912745757490068, 0.3540399089297106])","array('d', [0.05006329715251914, 0.03656495576359673, 0.026623219733692444, 0.01933028164899866, 0.013999731665952002, 0.010118050659953644, 0.007304259231505708, 0.005277149219111652, 0.003829686175355639, 0.0028096054054157138, 0.0021045002034484708, 0.0016302550451956616, 0.0013221257638131314, 0.0011279736686680085, 0.0010032958488968707, 0.0009078196251540198])","array('d', [1.9300938407566886, 1.8924718265507017, 1.8546986823515976, 1.8167882866158749, 1.7787532853933516, 1.7406051943665195, 1.703030741599466, 1.6672930765490714, 1.6342558257439601, 1.6042557485253768, 1.5772945318467018, 1.553194253790964, 1.5316970861243182, 1.5125220135090214, 1.495395387540321, 1.4800675284540012])",-285.5944976529197,-273.01824094632815,-51.40188769365245,0.7719830898957358,0.010118050659953644,1.7406051943665195,25.000000247830858,-1.0,"[-270.01890061121935, -297.1579354859782, 51.11967606468575]","[-301.0992097505619, -277.90831578839857, 67.35132802317278]","[-263.8208358514847, -268.78200956674397, 78.6222363356908]",10000000000.0,0.02181410789489746
8,-271.04766845703125,-292.2552795410156,51.32325744628906,0.7681370973587032,-0.051723767071962405,1.8821475068714955,23.203204325261577,"array('d', [-292.2552795410156, -289.8638963196526, -287.44571722978907, -285.0047130018815, -282.5446749372724, -280.06932019698314, -277.58240537606457, -275.08780542354214, -272.5890893337824, -270.089193950072, -267.5903487333921, -265.0941444108187, -262.601652921209, -260.1135499419515, -257.6302203759796, -255.1518466403618])","array('d', [-271.04766845703125, -271.7674742172224, -272.39613519697735, -272.9322539494947, -273.37469712639154, -273.7225400219615, -273.975689498159, -274.13722398802366, -274.21303822400273, -274.210454042602, -274.137160526201, -274.00059118881205, -273.8076134343138, -273.5644073341665, -273.27644980947326, -272.9485564055034])","array('d', [-51.32325744628906, -51.43419873548816, -51.514092261453335, -51.57141040700232, -51.61236692369145, -51.64150239096413, -51.66212893064437, -51.67666217460607, -51.68686563930854, -51.69402909221493, -51.69909747670938, -51.70276234310826, -51.7055247796272, -51.707736853434646, -51.709627163368964, -51.71131515642668])","array('d', [0.7681370973587032, 0.7697797044793099, 0.771265996987733, 0.7726108501612884, 0.7738277236765791, 0.7749287952732481, 0.7558629067550885, 0.7205313150642632, 0.6752600668451776, 0.6249799437776772, 0.5732615456900726, 0.522545065620895, 0.4743945806415157, 0.4297085268883053, 0.38887322659883705, 0.3518670781680829])","array('d', [0.051723767071962405, 0.03729981424619648, 0.02680132126786163, 0.01918439012128286, 0.01367425053903498, 0.009700948720346821, 0.006848067451771912, 0.004812551567286888, 0.0033742374282257044, 0.0023732316919322406, 0.0016928291884724142, 0.0012465104614128215, 0.0009680838984039507, 0.0008043074799880638, 0.0007095218114268494, 0.0006420018595870051])","array('d', [1.8821475068714955, 1.844175887281618, 1.806085316179097, 1.7678868015482296, 1.7295903589021577, 1.6912050961539136, 1.6535140901264673, 1.6178282875097911, 1.5849334138835014, 1.5551115628938041, 1.5283326730280846, 1.5044031821931887, 1.4830592251332664, 1.4640188954688405, 1.447010096140888, 1.4317855303800733])",-280.06932019698314,-273.7225400219615,-51.64150239096413,0.7749287952732481,0.009700948720346821,1.6912050961539136,25.000000247998667,-1.0,"[-270.8494830736226, -293.7236869721312, 51.272571057851444]","[-301.1404856252077, -273.8522670450327, 68.23080901174212]","[-263.43972858111835, -265.6447976145845, 78.78023382311491]",10000000000.0,0.021120786666870117
9,-272.159423828125,-286.3636169433594,51.56482696533203,0.7734121680259701,-0.04887345060706142,1.8321931819107873,23.18139473441366,"array('d', [-286.3636169433594, -283.9388772159396, -281.491860903413, -279.026653489591, -276.54714663176685, -274.05714778903535, -271.56046329844315, -269.06083731219036, -266.56151891560035, -264.06503186656187, -261.5731747570584, -259.08712972229796, -256.6075992531817, -254.13493305352037, -251.66923187190395, -249.21043159413034])","array('d', [-272.159423828125, -272.7585189076172, -273.2643145510645, -273.67569823417, -273.9918051620749, -274.21198441269, -274.33654691621604, -274.3692307013053, -274.3164421524273, -274.1857969991918, -273.98512633460547, -273.72191244492353, -273.4030193733231, -273.0345974667829, -272.6220826711265, -272.17024677029906])","array('d', [-51.56482696533203, -51.66900540001126, -51.74289179878961, -51.79500717041303, -51.831516668408405, -51.856869791530926, -51.874275822431365, -51.88605185324102, -51.89387470067408, -51.89896199299763, -51.90220109580204, -51.90423911779144, -51.90554379108523, -51.906442667235204, -51.907146425713805, -51.90776102417293])","array('d', [0.7734121680259701, 0.7745527862326941, 0.7755848603460652, 0.776518719679337, 0.7773637105394112, 0.7776660996326618, 0.7556194855462532, 0.7183824432567285, 0.6720449643970234, 0.6212925156707895, 0.5694876377471586, 0.518911979207403, 0.47101686733288334, 0.4266257843286216, 0.38608054929022545, 0.34934015901389714])","array('d', [0.04887345060706142, 0.03473007527923891, 0.02455760520194607, 0.01725955112897674, 0.012036253687675712, 0.008308785691334681, 0.005660336891214578, 0.0037916965238564983, 0.0024883346903938927, 0.0015963816260456884, 0.0010047706048221384, 0.0006318679200540351, 0.0004154805267481844, 0.0003054558330559492, 0.0002583369881017767, 0.00023375291211402097])","array('d', [1.8321931819107873, 1.7938382733294027, 1.7553999920922643, 1.7168861190998248, 1.6783037220580221, 1.639677378664486, 1.6018933141705158, 1.566293575688342, 1.533577688984011, 1.5039690552625953, 1.477404272857248, 1.4536737375857751, 1.4325076834405783, 1.4136236716378916, 1.3967515824090997, 1.3816469189795153])",-274.05714778903535,-274.21198441269,-51.856869791530926,0.7776660996326618,0.008308785691334681,1.639677378664486,25.000000248144854,-1.0,"[-271.5065716067558, -290.82930838696177, 51.40080850675413]","[-301.1174346084911, -270.4545432983531, 68.95261012016336]","[-263.0915371670555, -263.00930553437917, 78.8823411543514]",10000000000.0,0.017580747604370117
