,x_pos,y_pos,z_pos,roll,pitch,yaw,vel,x_traj,y_traj,z_traj,roll_traj,pitch_traj,yaw_traj,x_cmd,y_cmd,z_cmd,roll_cmd,pitch_cmd,yaw_cmd,vel_cmd,effector_dmg,effector_x,effector_y,effector_z,cost,time_solution
0,-200.53269958496094,-118.90261840820312,44.9563102722168,0.6285365223884583,0.03197294101119041,1.387910739579473,23.094623951400564,"array('d', [-121.13668823242188, -118.67578308795517, -116.22828472294997, -113.79741967493206, -111.38586396056257, -108.99636480977397, -106.63189664788302, -104.29546407458642, -101.99014933353423, -99.71907558398321, -97.4853988240198, -95.2922909304243, -93.14292652661918, -91.04046944784128, -88.98805956808134, -87.39245737601273])","array('d', [-201.07369995117188, -200.63695109184232, -200.12792484986838, -199.54514077756272, -198.88725774199054, -198.15318146346587, -197.34210964162003, -196.45348017898, -195.48698510745737, -194.44255824147615, -193.32037189948556, -192.1208296075411, -190.84455975779156, -189.49240855232497, -188.06543366298348, -186.8597136576707])","array('d', [-44.952606201171875, -44.901995118905624, -44.8977189871824, -44.92488791397455, -44.95761929067756, -44.98745671742474, -45.01739166561227, -45.046445154663864, -45.075015266464675, -45.103021235158444, -45.130547572923625, -45.15762024329623, -45.18428417280767, -45.210578556806695, -45.23653111552081, -45.251899704444256])","array('d', [0.628317296504974, 0.6432655053458063, 0.6567912051510606, 0.6690297653167391, 0.6801036730156811, 0.6901237589480539, 0.6991903062546887, 0.7073940534436783, 0.7148171007008607, 0.7215337266725245, 0.7276111171720793, 0.7331099858163178, 0.7380849492223475, 0.7425835111774698, 0.7466217932382433, 0.6642527123280558])","array('d', [-0.030147558078169902, -0.010669651093861414, 0.006954686992258224, 0.014652520452340194, 0.011584519486051228, 0.012274478976483356, 0.01168390395684398, 0.011561453022040783, 0.01129950365346302, 0.011108919134492298, 0.010915817297167637, 0.010745582228542279, 0.010588585137550862, 0.010449628893940481, 0.010315039264953772, 0.005139033027502916])","array('d', [1.4095599065211153, 1.3805915057849683, 1.3507516231745194, 1.320106786928974, 1.2887195268962468, 1.2566484729877885, 1.2239484661234044, 1.1906706821607815, 1.156862768048492, 1.1225689887168369, 1.0878303830746665, 1.0526849285263808, 1.0171677196890359, 0.9813112147411982, 0.9451464536633146, 0.9033941264001962])",-108.99636480977397,-198.15318146346587,-44.98745671742474,0.6901237589480539,0.012274478976483356,1.2566484729877885,25.00000024170597,-1.0,"[-200.3472095694653, -117.75598949034, 44.90833626257072]","[-205.40172243883595, -106.42607409072143, 53.33952340856934]","[-190.65076469098196, -108.319851803009, 51.38431203956878]",10000000000.0,0.018105506896972656
1,-200.30308532714844,-118.01309204101562,44.956825256347656,0.6293634772300717,0.03249490261077877,1.3791801045325138,23.09203728341852,"array('d', [-120.24160766601562, -117.7846131376473, -115.34161722788757, -112.91588255151544, -110.51010928360681, -108.12704633464803, -105.76967787277398, -103.44101200015795, -101.14413364410491, -98.88216612774879, -96.65826373886892, -94.47559462305455, -92.33732777473291, -90.24661953619258, -88.20660046063595, -86.62146091801132])","array('d', [-200.86293029785156, -200.40488661351225, -199.87468829038454, -199.27088604887993, -198.5921641250168, -197.8374493706473, -197.0059654231363, -196.09717516819217, -195.11079676104012, -194.0467903460452, -192.9053549421301, -191.68692091325883, -190.39214354587142, -189.02189586629117, -187.57726221200545, -186.35781967146596])","array('d', [-44.95447540283203, -44.90215153058548, -44.89632526787823, -44.92294181741013, -44.95570186331911, -44.985385108721346, -45.015247242368645, -45.04421639014541, -45.0727219417138, -45.100671338114225, -45.12815237731632, -45.15518913731812, -45.181826518527515, -45.2081031262217, -45.23404569175785, -45.249409313052425])","array('d', [0.628245890140533, 0.6432008941883255, 0.656732742550255, 0.668976866157487, 0.6800558078600673, 0.690080448732101, 0.6991511174831347, 0.7073585938256117, 0.7147850151579437, 0.7215046936076157, 0.7275848447222791, 0.7330862071210634, 0.7380634119894104, 0.7425639261155946, 0.746603103543087, 0.6642367743851303])","array('d', [-0.030867667868733396, -0.011321233422102827, 0.006365111032160234, 0.014788081529480149, 0.011475969717112953, 0.01225813685526152, 0.011642409894107522, 0.01153521501702822, 0.011274076579034249, 0.011088993758761172, 0.010899442398651149, 0.01073316118788702, 0.010579707220827775, 0.010444226990117435, 0.010312400100705828, 0.005136699274955328])","array('d', [1.400895194211278, 1.3719309122584344, 1.3420948368086025, 1.3114535144809465, 1.2800694930818612, 1.2480014200070355, 1.2153041531278608, 1.1820288846644837, 1.1482232772902012, 1.1139316109879442, 1.0791949390398168, 1.0440512526072736, 1.008535659787586, 0.9726806340517268, 0.9365172611892121, 0.8947664017578653])",-108.12704633464803,-197.8374493706473,-44.985385108721346,0.690080448732101,0.01225813685526152,1.2480014200070355,25.000000241744953,-1.0,"[-200.26003732506035, -117.4283877713822, 44.90835903151863]","[-205.26986607189323, -106.08673168564997, 53.35042353970499]","[-190.52755970368403, -108.0161610393703, 51.365050699440324]",10000000000.0,0.01752948760986328
2,-200.18533325195312,-117.56887817382812,44.956878662109375,0.6297267675399779,0.03275267407298087,1.3749378184464318,23.09280781127033,"array('d', [-119.7945785522461, -117.33961157281598, -114.89893572964176, -112.47583438422308, -110.07302155487923, -107.69324613957482, -105.33949765890871, -103.0147858623532, -100.72219707270632, -98.46485466950504, -96.24591206327175, -94.0685354894581, -91.93589107163793, -89.85113133553313, -87.81738209468996, -86.23753359910128])","array('d', [-200.7548370361328, -200.28616757460267, -199.7454014633243, -199.13110603832388, -198.44197911208366, -197.67695819949867, -196.83528042669866, -195.9164214706208, -194.9201128954875, -193.846328310164, -192.69528037142513, -191.46741312506194, -190.16339554797878, -188.78411430098913, -187.3306672591944, -186.10437753970635])","array('d', [-44.95527648925781, -44.9018992178489, -44.895119584453596, -44.921409929639836, -44.95420824574193, -44.983812384581434, -45.0136448532284, -45.0425753077956, -45.0710529962495, -45.098978027447686, -45.12644036681429, -45.15346299243219, -45.180090881985684, -45.2063623442536, -45.23230395303848, -45.24766837681635])","array('d', [0.6282431483268734, 0.6431984132919019, 0.6567304977408168, 0.6689748349668263, 0.6800539699561552, 0.6900787857132916, 0.6991496126885336, 0.707357232154999, 0.7147837828866854, 0.7215035781571429, 0.7275838342595354, 0.7330852894968174, 0.7380625705664805, 0.7425631140024694, 0.7466018656332273, 0.6642357183951104])","array('d', [-0.03131055459380151, -0.01172197393084613, 0.00600250608589847, 0.0148820971577284, 0.011415156891284702, 0.012254702879094902, 0.011622386936228713, 0.011524132190896326, 0.011262869538124139, 0.011080659496058591, 0.010892787867688379, 0.010728474718628738, 0.01057677073999206, 0.010443018081532985, 0.010312816451462965, 0.00513708533461637])","array('d', [1.3965669582274294, 1.3676028344166424, 1.3377669051445837, 1.3071257177360935, 1.27574182068715, 1.2436738620650147, 1.2109767003926561, 1.177701528520257, 1.143896009729324, 1.1096044245920964, 1.0748678269732037, 1.0397242086536085, 1.0042086785701392, 0.9683537123462672, 0.9321904141482662, 0.8904396533859231])",-107.69324613957482,-197.67695819949867,-44.983812384581434,0.6900787857132916,0.012254702879094902,1.2436738620650147,25.00000024176416,-1.0,"[-200.01756745823718, -116.54132284526088, 44.90809147997241]","[-204.90375615989552, -105.17088616753227, 53.383840988396464]","[-190.18606420234804, -107.19862690929301, 51.3155540337054]",10000000000.0,0.016503095626831055
3,-200.0656280517578,-117.12503814697266,44.9565544128418,0.6299976110458374,0.03298843279480935,1.3707752833750586,23.093044458575083,"array('d', [-119.3479232788086, -116.89504732389096, -114.45676418938474, -112.03637547713133, -109.63660810139184, -107.26021237049405, -104.91018302407463, -102.58953183853512, -100.30134666867212, -98.04875109323227, -95.83489771340889, -93.66295087865656, -91.53607381575739, -89.4574151642159, -87.43009588625833, -85.85567299268006])","array('d', [-200.64456176757812, -200.16516577680432, -199.61372212839606, -198.98881556624974, -198.2891583710673, -197.51370007022552, -196.66169224980513, -195.73262445570447, -194.72624264512964, -193.64253485445192, -192.48172829166032, -191.2442815580498, -189.93087815094322, -188.5424191534017, -187.0800167241111, -185.8467687797396])","array('d', [-44.95582580566406, -44.9015924000608, -44.894037923475786, -44.92005463897635, -44.95287108522923, -44.98240116741708, -45.012200297119634, -45.04109144289308, -45.06953964087782, -45.0974390950461, -45.12488145437901, -45.15188877533098, -45.178506059832564, -45.204771346107165, -45.23071106937273, -45.246075640304674])","array('d', [0.628325581550598, 0.6432730019633625, 0.656797988366493, 0.66903590301289, 0.6801092266077275, 0.6901287839890007, 0.699194852969655, 0.7073981671796209, 0.7148208222455886, 0.7215370922972094, 0.7276141579049049, 0.7331127240135581, 0.7380873827404423, 0.7425855118730286, 0.7466216039804567, 0.6642525493939178])","array('d', [-0.031670507043600166, -0.01204767239893152, 0.005707801970559246, 0.014951811292629291, 0.011361998840920935, 0.012247839258643223, 0.011602789938251753, 0.011512152970051256, 0.011251248872931243, 0.011071771671747539, 0.010885661318943808, 0.010723323860332609, 0.010573407257476823, 0.010441411191411681, 0.010312886861011998, 0.005137161514620882])","array('d', [1.3921967754748203, 1.3632278968231166, 1.3333875724576212, 1.3027423284848465, 1.2713546926693182, 1.2392832928950173, 1.2065829681181397, 1.173304892306006, 1.1394967106028715, 1.1052026862439686, 1.0704638566092846, 1.0353181979201367, 0.999800804685279, 0.9639441403835045, 0.9277793150194105, 0.8860270064862565])",-107.26021237049405,-197.51370007022552,-44.98240116741708,0.6901287839890007,0.012247839258643223,1.2392832928950173,25.000000241783543,-1.0,"[-199.8935767594181, -116.09834583746752, 44.90775843428551]","[-204.7195530986773, -104.71391148629542, 53.39920159059074]","[-190.01422973507124, -106.7893690405076, 51.29066164255919]",10000000000.0,0.0183258056640625
4,-199.94395446777344,-116.68157958984375,44.956077575683594,0.6302559971809383,0.03321941196918494,1.366490514078412,23.093547858862465,"array('d', [-118.90261840820312, -116.45183830723632, -114.015953277682, -111.59828165126861, -109.20156271904969, -106.82854931795684, -104.48224147040926, -102.1656533789911, -99.8818746543491, -97.63402929246553, -95.42526924367813, -93.25875709282624, -91.1376532514086, -89.06510252021157, -87.04422102626273, -85.47523084275163])","array('d', [-200.53269958496094, -200.04278288757584, -199.4808507107154, -198.84550626850447, -198.13547745958817, -197.34972724866694, -196.48752279525573, -195.54836866292095, -194.5320262450664, -193.4384989960762, -192.26802959445848, -191.02109205383562, -189.69838518532924, -188.3008252271926, -186.8295392962447, -185.58938695311213])","array('d', [-44.9563102722168, -44.90135754309231, -44.89315203973813, -44.91893289955494, -44.95175545334779, -44.981216359371395, -45.01098085730358, -45.039833281801165, -45.06825170341161, -45.096125412952915, -45.12354742877188, -45.1505390210273, -45.17714519079625, -45.20340373345215, -45.22934094689219, -45.24470517094539])","array('d', [0.6285365223884583, 0.643463869143148, 0.6569706921469808, 0.6691921718669822, 0.6802506245205397, 0.690256726108346, 0.6993106197636354, 0.7075029172380747, 0.7149156038400749, 0.7216228537755237, 0.7276917568923916, 0.7331829349966085, 0.7381509005096417, 0.7426429311582261, 0.7466730212391026, 0.6642963931549061])","array('d', [-0.03197294101119041, -0.012321325988497242, 0.00546018999892166, 0.015005703069875004, 0.011314682681063486, 0.012239166061090545, 0.011583925772041374, 0.011499927305334239, 0.011239641581479703, 0.011062739029083658, 0.010878388807363705, 0.01071798049784227, 0.010569828885331067, 0.010439565465165612, 0.010312696992540567, 0.005137003617411275])","array('d', [1.387910739579473, 1.3589296911145945, 1.329078117851675, 1.298422491561196, 1.2670252869198517, 1.2349450801290913, 1.2022366600425174, 1.1689511522762404, 1.1351361555297563, 1.1008358886322722, 1.0660913467080637, 1.0309404659867107, 0.9954183034813676, 0.9595572888531526, 0.9233885180204565, 0.8816321751074978])",-106.82854931795684,-197.34972724866694,-44.981216359371395,0.690256726108346,0.012239166061090545,1.2349450801290913,25.00000024180242,-1.0,"[-199.76775527127197, -115.65574438392184, 44.90708073796706]","[-204.53457013655964, -104.25698994661991, 53.412718475265876]","[-189.8416325060515, -106.37953899485393, 51.26507573871999]",10000000000.0,0.017114639282226562
5,-199.94395446777344,-116.68157958984375,44.956077575683594,0.6302559971809383,0.03321941196918494,1.366490514078412,23.093547858862465,"array('d', [-118.01309204101562, -115.56672245409229, -113.13588138366535, -110.72391977247027, -108.33360221848478, -105.967689373017, -103.62919275809602, -101.32113268497903, -99.04660307705159, -96.80872937766945, -94.61066258547493, -92.45556188610112, -90.3465819750783, -88.28685969282604, -86.27950102663831, -84.72192369270199])","array('d', [-200.30308532714844, -199.79173722543527, -199.20839047684066, -198.55169056655637, -197.82040182434434, -197.01351950600682, -196.13034686121802, -195.1704233677989, -194.1335459304, -193.01975329855688, -191.82932334409335, -190.56276495862184, -189.22081143173907, -187.80441296298713, -186.314730039994, -185.060273645316])","array('d', [-44.956825256347656, -44.90063107951415, -44.891301990278905, -44.91666314725308, -44.9494767903301, -44.97880341049296, -45.008493937245284, -45.03726730808322, -45.06562362466897, -45.09344381836923, -45.12082319190723, -45.14778164679548, -45.17436415042571, -45.200608056693774, -45.226539410592416, -45.24190242964328])","array('d', [0.6293634772300717, 0.6442121288934609, 0.6576477456261726, 0.6698047952385751, 0.6808049491072643, 0.6907582997513647, 0.6997644623351219, 0.7079135708521587, 0.7152871782358163, 0.7219590672406181, 0.7279959728526391, 0.7334581935189112, 0.738399939396938, 0.7428681540127803, 0.746875640758953, 0.664469159231088])","array('d', [-0.03249490261077877, -0.01279361640780896, 0.005032844012389619, 0.01508876176587741, 0.011227338864959606, 0.012217970400800221, 0.011546215816886673, 0.011474190396546943, 0.011215661951597233, 0.01104381892537662, 0.010863131925781606, 0.010706660269298073, 0.010562154312340465, 0.0104354705626616, 0.010312046542624171, 0.0051364468304715815])","array('d', [1.3791801045325138, 1.3501513117100996, 1.3202556091966757, 1.2895592551955672, 1.2581245157439842, 1.2260097639531977, 1.1932695918229983, 1.1599549350235883, 1.1261132098202342, 1.0917884606275463, 1.0570215165844967, 1.0218501567237748, 0.9863092902144857, 0.9504312108179133, 0.9142469256440908, 0.8724746796416951])",-105.967689373017,-197.01351950600682,-44.97880341049296,0.6907582997513647,0.012217970400800221,1.2260097639531977,25.000000241840993,-1.0,"[-199.63979118269117, -115.21358685545768, 44.90625762187303]","[-204.3456235368239, -103.80008169120872, 53.42606053746093]","[-189.6656961929632, -105.9711942317673, 51.238366885415246]",10000000000.0,0.01602339744567871
6,-199.68910217285156,-115.7774658203125,44.95450210571289,0.6314010620117185,0.03307964652776722,1.358090371885572,23.097647989104026,"array('d', [-117.56887817382812, -115.124719210538, -112.69639530400238, -110.28727293397253, -107.90012882590649, -105.53772709953012, -103.20308461386081, -100.89922438416717, -98.62924219671365, -96.39626398310385, -94.20344008645216, -92.05392786730182, -89.9508790898086, -87.8974265908285, -85.89667131191015, -84.34466217884541])","array('d', [-200.18533325195312, -199.66358850177656, -199.06986039459593, -198.40281465543057, -197.6612330262488, -196.84412602224577, -195.95081406899044, -194.98085322474202, -193.9340572820729, -192.81048177761627, -191.61042133040573, -190.3344014342004, -188.98317179565976, -187.55769878911173, -186.05915879928958, -184.79781995191442])","array('d', [-44.956878662109375, -44.90007139977164, -44.890187426819935, -44.91534451546303, -44.94815876718455, -44.977423126530695, -45.00708120968583, -45.0358193254442, -45.064148586592495, -45.09194576424546, -45.11930731438988, -45.146252467114195, -45.17282618336714, -45.19906560720512, -45.224996637156174, -45.24036093080931])","array('d', [0.6297267675399779, 0.6445408475886604, 0.6579451826272306, 0.6700739273880931, 0.6810484699620063, 0.6909786465377386, 0.6999638403357471, 0.7080939754622994, 0.7154504148959777, 0.7221067694019316, 0.7281296180120341, 0.7335791169228453, 0.7385093427194003, 0.7429670876030057, 0.7469645747935407, 0.6645449851523815])","array('d', [-0.03275267407298087, -0.013026857688652011, 0.00482179860017225, 0.015132300826681953, 0.011185708293691646, 0.012209240119479157, 0.011529128809651469, 0.01146297354771498, 0.011205220130046845, 0.011035806246175579, 0.010856856061273986, 0.010702262453743628, 0.0105594928616446, 0.010434517372935784, 0.010312713529781595, 0.005137054858057438])","array('d', [1.3749378184464318, 1.345888033425998, 1.315972929307921, 1.285258670193547, 1.253807430200501, 1.2216774929789416, 1.1889233638293373, 1.1555958947797746, 1.1217424217755816, 1.0874069124563244, 1.0526301229112485, 1.01744976301116, 0.9819006769239971, 0.9460150988664477, 0.9098239993862647, 0.8680447723342536])",-105.53772709953012,-196.84412602224577,-44.977423126530695,0.6909786465377386,0.012209240119479157,1.2216774929789416,25.000000241859134,-1.0,"[-199.37261694940418, -114.31207307108632, 44.90489168488456]","[-203.95873826125674, -102.87408406863244, 53.45707847498193]","[-189.30481076899486, -105.14391632958636, 51.19648772062945]",10000000000.0,0.031835079193115234
7,-199.56100463867188,-115.33534240722656,44.953407287597656,0.6325640678405758,0.032352905720472384,1.3543419996884207,23.100751586834228,"array('d', [-117.12503814697266, -114.68308905492039, -112.25727363826452, -109.85097248048847, -107.46697341977583, -105.10804372508863, -102.7772050210427, -100.47748265577283, -98.21197393758892, -95.9838050281974, -93.79612541854893, -91.65209051220812, -89.55484906953983, -87.5075299082642, -85.51322896192082, -83.96665785047811])","array('d', [-200.0656280517578, -199.53369732240242, -198.9298111529536, -198.2526540474749, -197.5010238083181, -196.6739449973963, -195.77075394808082, -194.79102209640354, -193.7345789396434, -192.60149565730455, -191.39208250523407, -190.1068805064934, -188.74665474955043, -187.3123867868658, -185.80526794270142, -184.5372671674423])","array('d', [-44.9565544128418, -44.89918642329817, -44.88879495212754, -44.91376530712449, -44.94658017671926, -44.975788040624025, -45.005417198466475, -45.03412410537854, -45.06242992463033, -45.09020760454437, -45.11755464243761, -45.144489642272575, -45.171057550388234, -45.19729531170212, -45.22322870035352, -45.238596256445874])","array('d', [0.6299976110458374, 0.6447859169487964, 0.6581669305730623, 0.6702745732420868, 0.6812300218483008, 0.691142921477605, 0.7001124824269599, 0.7082284723190868, 0.7155721124996564, 0.7222168854680008, 0.7282292538646239, 0.7336692674326919, 0.7385909015648118, 0.7430408263065684, 0.7470307068613109, 0.6646013678975912])","array('d', [-0.03298843279480935, -0.013240181016940319, 0.004628775693541889, 0.015172049556367223, 0.01114775088112627, 0.012201494160602174, 0.01151385842386475, 0.011453183780406759, 0.011196241642875209, 0.011029146890151597, 0.010851876891792945, 0.0106990887210132, 0.01055799191565726, 0.010434660793676158, 0.01031443091176639, 0.005138601914837621])","array('d', [1.3707752833750586, 1.3417098410655657, 1.3117802664626972, 1.2810526534004945, 1.2495891073634233, 1.217447845209651, 1.184683307515596, 1.1513462838737742, 1.1174840502802417, 1.0831405170785045, 1.0483563858527711, 1.0131693148934122, 0.9776140999697385, 0.9417229313759714, 0.905526757863392, 0.8637423399988006])",-105.10804372508863,-196.6739449973963,-44.975788040624025,0.691142921477605,0.012201494160602174,1.217447845209651,25.000000241876517,-1.0,"[-199.23902115579813, -113.87111142828242, 44.904886394605484]","[-203.7717172928422, -102.42629055444185, 53.47639389882718]","[-189.12940750340076, -104.74432416456415, 51.18958734549335]",10000000000.0,0.01643991470336914
8,-199.42913818359375,-114.88935852050781,44.951202392578125,0.6341788172721861,0.031065721064805995,1.3506927053120472,23.10793069483702,"array('d', [-116.68157958984375, -114.24194876404151, -111.8187588101498, -109.41540419921918, -107.03468384260198, -104.67936824296362, -102.35248371530021, -100.05705788783038, -97.79618949890633, -95.57300483050021, -93.39065238756613, -91.25228546191708, -89.1610496343688, -87.12006950767277, -85.132435791118, -83.59147908414572])","array('d', [-199.94395446777344, -199.40154975885991, -198.7872224792544, -198.09967621818973, -197.33772509111904, -196.5004079369822, -195.5870772475197, -194.597320089902, -193.53098192675023, -192.3881498452948, -191.16915000600875, -189.87453923040277, -188.5050982577562, -187.0618240861607, -185.54592324477048, -184.2711053141854])","array('d', [-44.956077575683594, -44.89816022942546, -44.88727154901485, -44.912057491111234, -44.94487076822905, -44.974021711599384, -45.00362111982956, -45.032296335481966, -45.06057830779358, -45.08833624516964, -45.115668650592774, -45.1425935082196, -45.16915574271306, -45.1953920984318, -45.221328223918974, -45.236699374917386])","array('d', [0.6302559971809383, 0.6450197144126889, 0.6583784792844115, 0.6704659904461039, 0.6814032233056929, 0.6912996406355038, 0.7002542877615416, 0.7083567830178839, 0.7156882126252553, 0.7223219366995307, 0.7283243067931453, 0.733755270926672, 0.7386687072836879, 0.7431111654457162, 0.7470937252448794, 0.6646550944214371])","array('d', [-0.03321941196918494, -0.013449179631574881, 0.004439665948215642, 0.015209839806952787, 0.011109948254738617, 0.012193263989852406, 0.011498407697696325, 0.011443188815712975, 0.011187142882670911, 0.011022411223804889, 0.010846876926365259, 0.010695943507364533, 0.010556569238894207, 0.010434930695388157, 0.010316323524146367, 0.005140306431278479])","array('d', [1.366490514078412, 1.3374101290582228, 1.307466744736173, 1.2767263878218658, 1.2452510982400058, 1.2130990290521122, 1.1803245590178786, 1.1469784181035794, 1.1131078250582473, 1.0787566355170046, 1.0439654990269094, 1.008772024644741, 0.9732109619773659, 0.9373144596006205, 0.901113447769134, 0.8593240833061345])",-104.67936824296362,-196.5004079369822,-44.974021711599384,0.6912996406355038,0.012193263989852406,1.2130990290521122,25.000000241894394,-1.0,"[-199.1018000819276, -113.4262525647295, 44.9046113058382]","[-203.58249874412462, -101.97761444275487, 53.49833137636965]","[-188.95143918634142, -104.34638761943852, 51.191599954200065]",10000000000.0,0.01625967025756836
9,-199.29501342773438,-114.4440689086914,44.94890213012695,0.6362415552139279,0.02925773896276952,1.347174094119344,23.116152156422025,"array('d', [-115.7774658203125, -113.34248904230914, -110.92460580717162, -108.5272219890929, -106.15314908286722, -103.80517284280087, -101.48632770293914, -99.19964831082517, -96.94823715725757, -94.73522180727406, -92.56374942076492, -90.43696949044592, -88.3580214134354, -86.3300213305259, -84.35604927316169, -82.82660485804799])","array('d', [-199.68910217285156, -199.1261402001761, -198.4912441507591, -197.78315941053253, -197.00073681799742, -196.14305269595462, -195.20949746275372, -194.19969608135992, -193.11353178385747, -191.9511291671609, -190.71285150978392, -189.39929224692452, -188.01126811739564, -186.5498114090121, -185.01616316570582, -183.72755627624971])","array('d', [-44.95450210571289, -44.896917174731385, -44.886329355463076, -44.91112855452693, -44.943793548797366, -44.972867730900056, -45.0023808873931, -45.030987712723224, -45.05920913704535, -45.08691728461603, -45.114209146616, -45.141102770777415, -45.16764264722588, -45.193865307482994, -45.21979614466185, -45.23516639652504])","array('d', [0.6314010620117185, 0.6460558120103352, 0.6593159792417841, 0.6713142755578226, 0.6821707834718926, 0.6919941578261632, 0.7008827128872983, 0.7089254054651589, 0.7162027231199174, 0.7227874840336583, 0.7287455486657194, 0.7341364181539248, 0.7390135554714523, 0.7434230659406841, 0.7473746171731735, 0.664894553479287])","array('d', [-0.03307964652776722, -0.013322714619915127, 0.0045540962130047324, 0.015109593177022682, 0.01109021451880419, 0.012151944591923262, 0.011470497177415814, 0.011416365353377847, 0.0111654394457069, 0.011004221744578673, 0.010832565043826745, 0.010685207515432801, 0.010549358967795786, 0.010431127159793791, 0.0103158407822839, 0.005139888614533313])","array('d', [1.358090371885572, 1.3289437010669778, 1.2989390610377403, 1.2681421799862893, 1.236614806317745, 1.20441480946538, 1.1715962934171047, 1.1382097231559924, 1.1043020630659923, 1.0699169257247363, 1.03509472947371, 0.9998728644693089, 0.9642858743769421, 0.9283657177186619, 0.8921431906851974, 0.8503317638647268])",-103.80517284280087,-196.14305269595462,-44.972867730900056,0.6919941578261632,0.012151944591923262,1.20441480946538,25.000000241929065,-1.0,"[-198.96251112503953, -112.98204403413871, 44.90502178268279]","[-203.39308108829746, -101.53285149740842, 53.52395675503035]","[-188.77283234277056, -103.95419288606529, 51.20330329134902]",10000000000.0,0.021999835968017578
