,x_pos,y_pos,z_pos,roll,pitch,yaw,vel,x_traj,y_traj,z_traj,roll_traj,pitch_traj,yaw_traj,x_cmd,y_cmd,z_cmd,roll_cmd,pitch_cmd,yaw_cmd,vel_cmd,effector_dmg,effector_x,effector_y,effector_z,cost,time_solution
0,-155.6063995361328,-230.88783264160156,44.919437408447266,0.6306191682815552,0.030979840084910504,2.6498583118107657,23.150838796007836,"array('d', [-232.77720642089844, -232.08410955551685, -231.32634989146055, -230.50404973582965, -229.6177904777492, -228.66860790100793, -227.65805798555536, -226.58882260368802, -225.46577768289953, -224.29412857033913, -223.07995648036143, -221.8300494246926, -220.55043568386077, -219.24628103736478, -217.9219217265177, -216.58095309514167])","array('d', [-152.45455932617188, -153.784052547578, -155.07802197215648, -156.3321299539461, -157.54198677468062, -158.70318948021855, -159.81142631594597, -160.86317818607847, -161.85730020215553, -162.79576223792762, -163.68145724809446, -164.51735663146246, -165.3069449266075, -166.05386304176326, -166.7616795747955, -167.43376642652908])","array('d', [-44.911922454833984, -44.87171512169575, -44.84056237805926, -44.81734554479635, -44.80085549914139, -44.78988845875031, -44.783312179553185, -44.780106628756634, -44.779384514284395, -44.78039781117856, -44.782534349497965, -44.78530396993345, -44.78833055044188, -44.7913448816927, -44.794179019596115, -44.796762748291336])","array('d', [0.6304033398628233, 0.6451530356770868, 0.6584991135526104, 0.6705751452733777, 0.6815019915852424, 0.6913890117483114, 0.6968549593172184, 0.6798255979021579, 0.6473002509372223, 0.6053618370855446, 0.5588104835229769, 0.5111583673992339, 0.4648042232049057, 0.4212426626992613, 0.38123968611252923, 0.3449599644769526])","array('d', [-0.030057679861784033, -0.02366525031708863, -0.01796979620866041, -0.013069004043794494, -0.008986289774681718, -0.005691530969949361, -0.0031197739315972635, -0.001186547823630306, 0.0002005882126433854, 0.0011337399571233657, 0.0016998407371068176, 0.0019791035150126444, 0.0020453208165036275, 0.0019671719654400835, 0.0018100395928241282, 0.0016377915901211843])","array('d', [2.6851484338429312, 2.6366669188356844, 2.586748148981835, 2.5355021049231183, 2.48303212413229, 2.429435067619781, 2.3749980498041032, 2.3212166888195758, 2.2701063115506215, 2.222853848185445, 2.1799217538557314, 2.141285542945186, 2.106680992109852, 2.075734233594575, 2.048040460462079, 2.0232116182010724])",-228.66860790100793,-158.70318948021855,-44.78988845875031,0.6913890117483114,-0.005691530969949361,2.429435067619781,14.999999856377698,-1.0,"[-82.38694074150249, -244.66231889908664, 44.8317570434975]","[-92.92775743130342, -253.4519450087677, 38.77918268509204]","[-96.88984691673312, -241.88415891837857, 47.46757562489669]",10000000000.0,0.04078412055969238
1,-156.3836669921875,-230.39840698242188,44.9212532043457,0.6307775378227234,0.03175732865929612,2.6409071246769766,23.148842518896377,"array('d', [-232.08062744140625, -231.36938231268053, -230.59396805765928, -229.75456667946844, -228.85181978714925, -227.88682338893793, -226.86119675233184, -225.77768859757893, -224.64120235718136, -223.45664976160631, -222.23038741522782, -220.96915442165417, -219.67892242956825, -218.36479925330036, -217.03106551458777, -215.68126690830692])","array('d', [-153.64596557617188, -154.96581738367024, -156.2492710200699, -157.49198878859875, -158.68958795068568, -159.8376792686158, -160.93197645015113, -161.9690180699786, -162.94774580202719, -163.8704319265947, -164.73979934380137, -165.5589150986051, -166.33134555502085, -167.0607998031668, -167.75090253191553, -168.40507057234163])","array('d', [-44.9141845703125, -44.87327590528401, -44.8415510795857, -44.81786106921783, -44.800973334752015, -44.7896666405879, -44.78279606685305, -44.77933251061941, -44.778382197012604, -44.77919237352902, -44.78114723579231, -44.78375375710157, -44.786633517485775, -44.78951540642541, -44.7922298858151, -44.7947054121741])","array('d', [0.630373954772949, 0.64512644694577, 0.6584750550713309, 0.670553376257106, 0.6814822941624294, 0.6913711887787889, 0.6966201383402059, 0.6794428707526753, 0.6468320651633204, 0.6048585905805985, 0.5583086917605493, 0.5106804491713317, 0.464361654443038, 0.420839181692015, 0.38087421878241173, 0.34462927593164516])","array('d', [-0.030575137585401667, -0.024084880255470724, -0.018314364696396666, -0.01335637111971372, -0.0092299373131615, -0.005901332581783879, -0.003302815554481498, -0.001347876587406, 5.7349608214959275e-05, 0.0010058797728178237, 0.0015852408360599805, 0.0018760801791852554, 0.0019524838808063583, 0.00188334828565877, 0.0017342404500516892, 0.0015692056832979275])","array('d', [2.6714403192189082, 2.622961637536717, 2.5730454861125995, 2.5218018583280224, 2.4693341040978902, 2.4157390965395953, 2.3613162808934014, 2.307568859666427, 2.256503329515277, 2.209310100633762, 2.1664330396779237, 2.127845636056946, 2.0932832528349534, 2.0623724592952133, 2.0347092485529727, 2.009906400980694])",-227.88682338893793,-159.8376792686158,-44.7896666405879,0.6913711887787889,-0.005901332581783879,2.4157390965395953,14.999999856754213,-1.0,"[-82.38694074150249, -244.66231889908664, 44.8317570434975]","[-92.92775743130342, -253.4519450087677, 38.77918268509204]","[-96.88984691673312, -241.88415891837857, 47.46757562489669]",10000000000.0,0.0408627986907959
2,-157.15724182128906,-229.90184020996094,44.92255401611328,0.6306786537170408,0.032381203025579536,2.6317884484913683,23.145456652024297,"array('d', [-231.60829162597656, -230.8860226985324, -230.0998977635475, -229.2501345651873, -228.33741065681093, -227.36285793122119, -226.3281334046899, -225.23602568001067, -224.09145374243113, -222.89914953724525, -221.66563595177936, -220.397621047107, -219.10104096705282, -217.78096742659346, -216.4416465541678, -215.08659218610222])","array('d', [-154.43382263183594, -155.7476736644384, -157.02459562424835, -158.26025210356005, -159.45026586018344, -160.59025711353786, -161.67595615722323, -162.70393803647713, -163.6731978979332, -164.58618601150937, -165.44552847242971, -166.25435003696094, -167.01626624914854, -167.73502705140376, -168.41429065283555, -169.05750124993818])","array('d', [-44.91632080078125, -44.87539384090736, -44.84369349410036, -44.82005062889091, -44.803218919680006, -44.79196846038698, -44.78514951785149, -44.78173088256846, -44.78081841803189, -44.78166013630558, -44.78364124839508, -44.78626974711672, -44.789168202619834, -44.79206633108728, -44.79479519855679, -44.797283630848305])","array('d', [0.6303175091743467, 0.6450753728514055, 0.6584288413154002, 0.6705115603175823, 0.6814444575318934, 0.6913369527748555, 0.6964515003756602, 0.6791838347415264, 0.646521925782485, 0.6045287153492435, 0.557981579260187, 0.5103697845231802, 0.4640743391985559, 0.4205773539739807, 0.3806370733032495, 0.3444146978091487])","array('d', [-0.0306059103459121, -0.024079120273602955, -0.018287825872480158, -0.013320202610400669, -0.00919143958369269, -0.005864815282105467, -0.0032704217221961544, -0.0013202953633689317, 8.031089725194484e-05, 0.0010248403861776601, 0.0016009626308324078, 0.0018893207386988403, 0.0019638909482491075, 0.0018934118642454638, 0.0017432817572080065, 0.0015773865970585598])","array('d', [2.6630661050465445, 2.6145928655474853, 2.5646817435614104, 2.5134427569361124, 2.4609792794814807, 2.407388207566177, 2.3529767536751893, 2.2992528187828607, 2.2482172676178753, 2.2010623588794185, 2.158220783400487, 2.119664818555964, 2.0851296113159568, 2.054242033333006, 2.026598596198774, 2.001812635077373])",-227.36285793122119,-160.59025711353786,-44.79196846038698,0.6913369527748555,-0.005864815282105467,2.407388207566177,14.999999857002095,-1.0,"[-82.38694074150249, -244.66231889908664, 44.8317570434975]","[-92.92775743130342, -253.4519450087677, 38.77918268509204]","[-96.88984691673312, -241.88415891837857, 47.46757562489669]",10000000000.0,0.020953893661499023
3,-157.54251098632812,-229.65078735351562,44.92291259765625,0.6309719681739803,0.03221661970019353,2.627521232762609,23.143763333205825,"array('d', [-231.12982177734375, -230.39606213798905, -229.59875809449574, -228.73816775104393, -227.81500917208209, -226.83045460654202, -225.78620315037398, -224.68508719505212, -223.53204392849403, -222.33161265469423, -221.09049856164694, -219.8153780877007, -218.512150699886, -217.18585054181767, -215.8406876743731, -214.48014253910563])","array('d', [-155.21644592285156, -156.52390787915556, -157.79387605272206, -159.02201438183033, -160.20395061192684, -161.33531435621202, -162.41185302760397, -163.43017992725157, -164.38934685220056, -165.29199135354332, -166.14063951117745, -166.9384777137946, -167.68917408273953, -168.39652226819754, -169.06421636782656, -169.6957298891196])","array('d', [-44.91847610473633, -44.877346317205635, -44.84550524509147, -44.82176293895165, -44.80485807505563, -44.793550554304154, -44.786684151221785, -44.783223832614944, -44.78227343391475, -44.78308010409674, -44.785028700312964, -44.787627053504714, -44.79049771472434, -44.793370392416946, -44.796076093860705, -44.798543516101624])","array('d', [0.630432605743408, 0.6451795165431782, 0.6585230744330378, 0.6705968259760243, 0.6815216090967569, 0.6914067624021326, 0.6963736495656837, 0.6790030811458665, 0.646279084264962, 0.6042570128479252, 0.5577053218360785, 0.51010413702305, 0.4638273053761275, 0.42035183266917964, 0.3804327607014996, 0.3442298281053672])","array('d', [-0.03076638467609906, -0.024190013136313457, -0.01836516948199759, -0.013375826208940823, -0.009233586723494613, -0.0058988870215213665, -0.0032997111762374117, -0.0013466330727756627, 5.603531032097421e-05, 0.001002256181969271, 0.0015799548353044495, 0.0018698945841091185, 0.0019460670521541394, 0.0018771747114172642, 0.0017285630876199393, 0.0015640685928697362])","array('d', [2.6543025533345084, 2.605818216379993, 2.555896838618811, 2.50464838800291, 2.4521761896119036, 2.3985770923977183, 2.3441662312276024, 2.2904565253757623, 2.2394432870702095, 2.192320899741207, 2.1495100449869087, 2.1109815317484393, 2.0764700926263964, 2.0456027616168835, 2.017976474864398, 1.9932050595272588])",-226.83045460654202,-161.33531435621202,-44.793550554304154,0.6914067624021326,-0.0058988870215213665,2.3985770923977183,14.999999857286586,-1.0,"[-82.38694074150249, -244.66231889908664, 44.8317570434975]","[-92.92775743130342, -253.4519450087677, 38.77918268509204]","[-96.88984691673312, -241.88415891837857, 47.46757562489669]",10000000000.0,0.017673492431640625
4,-157.92660522460938,-229.39776611328125,44.92264175415039,0.6316890716552731,0.03162086009979257,2.623658017316137,23.13861899673072,"array('d', [-230.88783264160156, -230.14826172680145, -229.3452909048594, -228.47920095998768, -227.5507326886867, -226.56108093758894, -225.5119680912133, -224.40625026318713, -223.24887539984005, -222.0442838104751, -220.79927722425862, -219.52051692873928, -218.21388436128302, -216.88439494301144, -215.53624060861108, -214.17288492223835])","array('d', [-155.6063995361328, -156.91057372615722, -158.17696026883894, -159.40122235715265, -160.57898953046686, -161.7058956403359, -162.77769641324144, -163.79102424618662, -164.74495992607442, -165.64223675595989, -166.48533103311675, -167.27746141967637, -168.02232366496605, -168.7237344474963, -169.3854068160662, -170.01082978795344])","array('d', [-44.919437408447266, -44.878015608244475, -44.84593188974727, -44.82198607373894, -44.80490867506178, -44.79345326601526, -44.78645880268734, -44.78288661001084, -44.78183776093565, -44.78255720391329, -44.78442815895827, -44.78695709247119, -44.78976544805862, -44.792582025517554, -44.79523708911904, -44.79765874155748])","array('d', [0.6306191682815552, 0.6453483253237762, 0.6586758189480253, 0.6707350349410448, 0.6816466657509821, 0.6915199183516569, 0.6964088734812851, 0.6789813533126233, 0.646220250616738, 0.6041777578444701, 0.5576182250146479, 0.5100173303042268, 0.46374533618901487, 0.42027663353331, 0.38036458686927377, 0.34416814186545197])","array('d', [-0.030979840084910504, -0.024366671135872223, -0.01851260207936768, -0.013500160315715111, -0.009339619369212324, -0.005990288676091093, -0.0033792562044528142, -0.0014164167520285239, -5.584406114350131e-06, 0.0009475451360042391, 0.001531141448335751, 0.001826161566479498, 0.0019067429984870848, 0.001841705838100431, 0.0016964988470728067, 0.0015350556656242894])","array('d', [2.6498583118107657, 2.601355982919137, 2.551417978051013, 2.500154184219691, 2.447667847459349, 2.3940557398100326, 2.339636745498661, 2.285926337745657, 2.2349173530959328, 2.187805421882872, 2.1450049943551335, 2.1064860044919995, 2.071982840287927, 2.0411225020535033, 2.0135020489138133, 1.988735486537356])",-226.56108093758894,-161.7058956403359,-44.79345326601526,0.6915199183516569,-0.005990288676091093,2.3940557398100326,14.999999857441464,-1.0,"[-82.38694074150249, -244.66231889908664, 44.8317570434975]","[-92.92775743130342, -253.4519450087677, 38.77918268509204]","[-96.88984691673312, -241.88415891837857, 47.46757562489669]",10000000000.0,0.020518779754638672
5,-158.3080291748047,-229.1436767578125,44.92227554321289,0.6328608393669127,0.03050741367042073,2.620170430341039,23.13185450404039,"array('d', [-230.64401245117188, -229.89865047598065, -229.0900420959733, -228.2184896640404, -227.28475564472183, -226.29005644347717, -225.23613678241801, -224.12587576414373, -222.96423115383283, -221.75554357923014, -220.50671026266093, -219.22437651074108, -217.91440511455363, -216.58179233561975, -215.23071168194608, -213.86460961655948])","array('d', [-155.9954833984375, -157.29633871014406, -158.5591206565903, -159.77949171223827, -160.95308320410476, -162.07553321177306, -163.14260586261994, -164.15095302415511, -165.09968446983322, -165.9916273651006, -166.82920917130818, -167.61568007937288, -168.35476271622733, -169.05029608861915, -169.706011568865, -170.32541314277898])","array('d', [-44.92039489746094, -44.878420095844575, -44.84585722577559, -44.821496386383764, -44.80405923048357, -44.792291458022746, -44.785025138995465, -44.78121562600123, -44.77995884048359, -44.78049507405188, -44.782203905565105, -44.784588655658816, -44.78726813500361, -44.78996897801394, -44.79251971638715, -44.79484712569176])","array('d', [0.6307325363159177, 0.6454509049725519, 0.6587686368609413, 0.6708190200692539, 0.6817226586442471, 0.6915886795702916, 0.696399271231377, 0.6789161936952077, 0.6461205270986166, 0.6040607104199853, 0.5574965777571257, 0.5098991246548005, 0.4636349140552115, 0.4201756803350681, 0.3802731090336773, 0.3440853692893873])","array('d', [-0.031375464051962, -0.024709550343457495, -0.01880950883789723, -0.01375735345696855, -0.009562703904647198, -0.006184188363307617, -0.0035482505102767403, -0.0015642043366374196, -0.00013534621670717936, 0.0008330743574063807, 0.001429627579367441, 0.0017356474653227112, 0.0018256095294388462, 0.0017686413122191087, 0.0016304763576763203, 0.0014753160413970444])","array('d', [2.645411924519811, 2.5968986601937436, 2.546950549576213, 2.4956774304596, 2.4431825008100145, 2.389562485898727, 2.335140295789524, 2.2814340178284374, 2.230433720498491, 2.183336114218166, 2.1405494556936397, 2.102042862409701, 2.0675504509245957, 2.036699256552923, 2.0090865189802174, 1.9843264685666435])",-226.29005644347717,-162.07553321177306,-44.792291458022746,0.6915886795702916,-0.006184188363307617,2.389562485898727,14.999999857602646,-1.0,"[-87.71497517637128, -245.5188761023485, 44.84466683179636]","[-98.8247823777828, -253.82159599637794, 39.1317843449293]","[-101.99020797155704, -242.0609485762802, 47.88776818858884]",10000000000.0,0.037839412689208984
6,-159.06687927246094,-228.629150390625,44.92083740234375,0.6370159983634947,0.026480196043849078,2.614522890248571,23.110159717708427,"array('d', [-230.39840698242188, -229.64719717379506, -228.83290587984624, -227.955856148981, -227.01683124039528, -226.01706825270347, -224.95833348333994, -223.8435285042789, -222.6776200245831, -221.4648467415175, -220.21220185408328, -218.92631365164334, -217.61302542626368, -216.27731360265295, -214.92333273259885, -213.55451176382343])","array('d', [-156.3836669921875, -157.68113670537815, -158.94024955515988, -160.15666779507055, -161.32602499685112, -162.4439638732948, -163.5062574214522, -164.509577802874, -165.4530642964067, -166.3396375472225, -167.1716763154529, -167.95246202533178, -168.6857438064017, -169.37538260133186, -170.0251277288094, -170.63849779574565])","array('d', [-44.9212532043457, -44.878745980079344, -44.84572406218324, -44.820967250519196, -44.803187995482936, -44.79112396558561, -44.78360031628755, -44.7795664873836, -44.77811336191914, -44.778476703690025, -44.780032623741505, -44.78228142971997, -44.784839422458724, -44.787431179218025, -44.78988358987844, -44.79212217528111])","array('d', [0.6307775378227234, 0.6454916240234447, 0.6588054809851145, 0.670852358014381, 0.6817528240669685, 0.6916159743749528, 0.6963465624821896, 0.6788083957629615, 0.6459800618660614, 0.6039056195440433, 0.5573399222531349, 0.5097489846506421, 0.46349550221179336, 0.42004847155199027, 0.3801578713779235, 0.34398109793705167])","array('d', [-0.03175732865929612, -0.02503874588511512, -0.019093282992940226, -0.014002262571641605, -0.009774511224500348, -0.006367872889287234, -0.0037080753650750916, -0.0017038058199777377, -0.00025781719658805364, 0.0007250973703532374, 0.0013339083604390512, 0.0016503200344466415, 0.0017491353785274901, 0.0016997770235258395, 0.001568250341939339, 0.001419011608903428])","array('d', [2.6409071246769766, 2.5923895190385324, 2.5424373965200733, 2.491160575367933, 2.438662234460309, 2.3850390804969526, 2.330618376615481, 2.2769209222644062, 2.2259336954770625, 2.1788543425580666, 2.1360848681046214, 2.0975936165277624, 2.063114498799734, 2.0322746515203827, 2.0046715528383996, 1.9799197051305233])",-226.01706825270347,-162.4439638732948,-44.79112396558561,0.6916159743749528,-0.006367872889287234,2.3850390804969526,14.99999985777325,-1.0,"[-87.71497517637128, -245.5188761023485, 44.84466683179636]","[-98.8247823777828, -253.82159599637794, 39.1317843449293]","[-101.99020797155704, -242.0609485762802, 47.88776818858884]",10000000000.0,0.02368021011352539
7,-159.81973266601562,-228.10626220703125,44.918601989746094,0.6428694725036619,0.020409278571605773,2.6100856820729117,23.076158819147455,"array('d', [-229.90184020996094, -229.1388493699998, -228.31313711460493, -227.4250651684201, -226.47545563986571, -225.46558429011085, -224.39725812299827, -223.27342188088414, -222.098939676224, -220.8780819521779, -219.6179109536571, -218.32501821408607, -217.00520587089633, -215.6634090261105, -214.30374307921028, -212.92960103733594])","array('d', [-157.15724182128906, -158.44779003916216, -159.69942334847255, -160.90780517746956, -162.0685750380029, -163.1773861456803, -164.23003056971237, -165.22322326735895, -166.1562625268514, -167.0320622313688, -167.8529978101586, -168.6224118654804, -169.34410508363052, -170.02198084676692, -170.65982303456212, -171.2611782870335])","array('d', [-44.92255401611328, -44.87918448130083, -44.84543166221673, -44.820053045007036, -44.801742256783356, -44.78922141937508, -44.78130299485698, -44.77692609537712, -44.77517298698327, -44.77527243206804, -44.776594988494544, -44.778636289908476, -44.7810087987663, -44.78343396927032, -44.785736203895205, -44.787839119226156])","array('d', [0.6306786537170408, 0.6454021499764148, 0.6587245215119901, 0.6707791028469322, 0.681686540043929, 0.6915559981029543, 0.6961224711263749, 0.678474958565011, 0.6455863152117756, 0.6034904555769053, 0.5569302159330646, 0.509360882927509, 0.4631370019533644, 0.4197219063039771, 0.37986210832068373, 0.34371348043175276])","array('d', [-0.032381203025579536, -0.025566695828223247, -0.019541443770062672, -0.014384395011539566, -0.010102052692208317, -0.00665018361597547, -0.00395276639465286, -0.0019170684238845796, -0.00044473188849027004, 0.0005603257529604457, 0.001187809933731215, 0.0015200431517171785, 0.0016323474573176932, 0.0015945970986984772, 0.00147320603923935, 0.0013330119596909106])","array('d', [2.6317884484913683, 2.583280381877257, 2.5333370746011004, 2.482068387853005, 2.4295775424487145, 2.3759612858916386, 2.3215564643829913, 2.267889596869747, 2.2169458479599338, 2.169913791249414, 2.1271880458124834, 2.088735544162539, 2.054289974453413, 2.023478860645094, 1.9959003169591747, 1.971169518347153])",-225.46558429011085,-163.1773861456803,-44.78922141937508,0.6915559981029543,-0.00665018361597547,2.3759612858916386,14.999999858142543,-1.0,"[-87.71497517637128, -245.5188761023485, 44.84466683179636]","[-98.8247823777828, -253.82159599637794, 39.1317843449293]","[-101.99020797155704, -242.0609485762802, 47.88776818858884]",10000000000.0,0.02518320083618164
8,-160.19369506835938,-227.84178161621094,44.91740036010742,0.6463700532913205,0.01674163155257719,2.607924060025487,23.053286724393075,"array('d', [-229.65078735351562, -228.882274368928, -228.05117378134995, -227.15787088607536, -226.2032112221834, -225.18849371993187, -224.11554904742346, -222.98734565243828, -221.80865764073127, -220.5838636364135, -219.32001746404984, -218.02369610510556, -216.7006842501951, -215.35589881522435, -213.99343755292367, -212.61667704152057])","array('d', [-157.54251098632812, -158.82978665689944, -160.0778551074551, -161.28237990840344, -162.43900320989954, -163.54338319217322, -164.59132081920947, -165.57955051022154, -166.50748260014657, -167.37795948275527, -168.1933918581086, -168.9571539683197, -169.67307350948875, -170.34507632509693, -170.97696474612698, -171.57230048197337])","array('d', [-44.92291259765625, -44.879793573254325, -44.84629139643119, -44.82115186906455, -44.803061585703226, -44.79073927175596, -44.78299663297244, -44.77877378535679, -44.77715489245312, -44.77737167053541, -44.77879702869891, -44.7809288700571, -44.78338167748696, -44.785878588280404, -44.788245317877305, -44.790406427638445])","array('d', [0.6309719681739803, 0.6456675518963366, 0.6589646671216852, 0.6709963955999922, 0.681883154675227, 0.691733902393583, 0.6962193282062539, 0.6785101387389023, 0.6455795057327204, 0.6034588539133042, 0.556886485819079, 0.5093134058877147, 0.463090645044886, 0.4196789350581768, 0.37982309578445556, 0.3436781804260042])","array('d', [-0.03221661970019353, -0.025397207709818542, -0.019376580430331622, -0.01423024741252825, -0.00996193772050091, -0.00652533665509772, -0.003842977868673149, -0.0018212210036790309, -0.00036124920831983947, 0.0006331682134233726, 0.001251698778051492, 0.0015764955853257822, 0.001682643005344853, 0.0016397520791823963, 0.0015139744562781977, 0.0013699007522295311])","array('d', [2.627521232762609, 2.5789848671828586, 2.529015408396126, 2.477722590148515, 2.425209508800665, 2.3715727907695725, 2.317152845656836, 2.263478792357556, 2.212538009744952, 2.165511319584762, 2.1227916495928056, 2.084344960452174, 2.0499044896626555, 2.0190976321050993, 1.991522546337491, 1.9667945231656174])",-225.18849371993187,-163.54338319217322,-44.79073927175596,0.691733902393583,-0.00652533665509772,2.3715727907695725,14.999999858328334,-1.0,"[-87.71497517637128, -245.5188761023485, 44.84466683179636]","[-98.8247823777828, -253.82159599637794, 39.1317843449293]","[-101.99020797155704, -242.0609485762802, 47.88776818858884]",10000000000.0,0.050882577896118164
9,-160.93621826171875,-227.3069305419922,44.91544723510742,0.6542714834213254,0.008793309330940373,2.6037579337742667,22.996104319538972,"array('d', [-229.1436767578125, -228.36556842415976, -227.52495641912003, -226.62228919674365, -225.65847447740282, -224.63487229224535, -223.5533734012779, -222.41700190755964, -221.23038206567375, -219.99810340455556, -218.7272204262225, -217.42429642255064, -216.09509384284107, -214.74450326991087, -213.37659501645408, -211.99471898562297])","array('d', [-158.3080291748047, -159.58960715057626, -160.8313473185389, -162.02891073455984, -163.17794244179274, -164.27410844711923, -165.31322404270367, -166.29205373416482, -167.21020883629174, -168.07041267790257, -168.87514851098067, -169.62785788878114, -170.332427368644, -170.99283265144135, -171.61291765117832, -172.1962784893947])","array('d', [-44.92227554321289, -44.881626223227634, -44.85039519858457, -44.827306810165155, -44.811043052982235, -44.800330374940636, -44.79399640044371, -44.79100189174281, -44.790453715220394, -44.791607660759105, -44.79385645654142, -44.7967158558136, -44.799815701272195, -44.80289177386124, -44.80577969281038, -44.80841128271587])","array('d', [0.6328608393669127, 0.6473766733844245, 0.6605111443362187, 0.672395706176653, 0.6831493033591697, 0.6928795612031355, 0.6972119986105412, 0.6793572639465214, 0.6462999936847764, 0.6040763968080181, 0.5574228828605563, 0.5097862704421446, 0.4635128760558155, 0.42005922122292344, 0.3801669626860303, 0.34398932409355054])","array('d', [-0.03050741367042073, -0.023810141930262423, -0.017932347474461582, -0.012936755077036776, -0.008817413864158671, -0.005521271158139791, -0.0029666714740033376, -0.0010578529866053159, 0.00030447857501763426, 0.001215883998215466, 0.0017646696192187758, 0.002031217000667404, 0.0020886724887326583, 0.0020046977333610244, 0.001843571754652497, 0.0016681327475864926])","array('d', [2.620170430341039, 2.5714515450724336, 2.5213134348592208, 2.4698650082029774, 2.417208555764601, 2.3634399202960727, 2.3089016826393287, 2.255126959548005, 2.2041118705610128, 2.1570252234925995, 2.1142565902454367, 2.075768997878338, 2.041293491618727, 2.010455969753991, 1.9828536241314054, 1.9581011264239763])",-224.63487229224535,-164.27410844711923,-44.800330374940636,0.6928795612031355,-0.005521271158139791,2.3634399202960727,14.999999858671332,-1.0,"[-87.71497517637128, -245.5188761023485, 44.84466683179636]","[-98.8247823777828, -253.82159599637794, 39.1317843449293]","[-101.99020797155704, -242.0609485762802, 47.88776818858884]",10000000000.0,0.017238378524780273
