,x_pos,y_pos,z_pos,roll,pitch,yaw,vel,x_traj,y_traj,z_traj,roll_traj,pitch_traj,yaw_traj,x_cmd,y_cmd,z_cmd,roll_cmd,pitch_cmd,yaw_cmd,vel_cmd,effector_dmg,effector_x,effector_y,effector_z,cost,time_solution
0,-175.25729370117188,-61.402034759521484,50.026493072509766,0.6359274387359617,0.034551464021205715,0.7321419874813893,23.131912958850073,"array('d', [-63.157081604003906, -61.463369339080224, -59.81703807575169, -58.21390025395863, -56.6499613375504, -55.12151946974095, -53.6251917025035, -52.1579093013098, -50.71689992772966, -49.29966448082503, -47.90395218541277, -46.52773571257199, -45.16918732585439, -43.82665669320895, -42.49865084453981, -41.18381884885594])","array('d', [-177.39004516601562, -175.55274288152987, -173.67205700252208, -171.7540715174025, -169.8038350502342, -167.82558236152877, -165.8228919425307, -163.79880504395962, -161.75591894484637, -159.69646172557205, -157.6223531050592, -155.53525442097097, -153.4366099273944, -151.32768098406908, -149.20957429001504, -147.08326849212807])","array('d', [-50.0227165222168, -49.950630695437304, -49.90291005942643, -49.8708777321763, -49.84906901959694, -49.834002619460506, -49.823433227132355, -49.81589350443889, -49.810411071444285, -49.80633224725807, -49.80321155514452, -49.80074221758827, -49.79871252956364, -49.796978766420274, -49.795448712749696, -49.79407191291437])","array('d', [0.6355842947959899, 0.5795771734301042, 0.5265415622705945, 0.4770997956372948, 0.4315258968333585, 0.38986601706279705, 0.3520188149404742, 0.31778973379837905, 0.28692831912660854, 0.2591544486118726, 0.234177233391012, 0.2117090076605308, 0.1914759766579915, 0.17322655746365198, 0.15673810724822979, 0.14182251711564536])","array('d', [-0.03490189090371122, -0.022974087923734773, -0.015332312787623885, -0.010376941831134398, -0.00712451406177642, -0.004964711061580952, -0.0035150125095820338, -0.0025331543224894363, -0.001863959135636797, -0.001406729163576058, -0.0010950250070284708, -0.0008839662240867248, -0.0007421501341109586, -0.0006464568334869899, -0.0005787162162202349, -0.000523644216346515])","array('d', [0.7586620608952384, 0.7313941098740079, 0.7071864667197396, 0.6856720188642517, 0.6665221214856243, 0.6494479821911202, 0.6341978268505309, 0.6205528241781388, 0.6083229825716848, 0.5973434378054725, 0.5874712101664388, 0.5785823774401803, 0.5705695700972628, 0.563339693614174, 0.5568117956759613, 0.5509150025012279])",-55.12151946974095,-167.82558236152877,-49.834002619460506,0.38986601706279705,-0.004964711061580952,0.6494479821911202,25.00000024898931,-1.0,"[-174.1423431470668, -60.3999368240094, 49.974676187778556]","[-158.65812527831773, -21.835959259285886, 77.77860812879389]","[-125.25486076124825, -51.06812201751363, 54.76333971673384]",10000000000.0,0.0477755069732666
1,-174.89707946777344,-61.11494064331055,50.026737213134766,0.6359929442405697,0.034688740968704085,0.7276846329357959,23.131805738206214,"array('d', [-62.86069107055664, -61.17526031889109, -59.53734229703799, -57.94266022364643, -56.38716073550009, -54.867104027329965, -53.37908380221584, -51.9200182792305, -50.487129332547276, -49.07791711186358, -47.690133472652654, -46.32175584327429, -44.970962424948176, -43.63610930434136, -42.315709921434035, -41.00841943161251])","array('d', [-177.03811645507812, -175.19319370620363, -173.30516689304923, -171.3801409070325, -169.42316434657198, -167.43846014478376, -165.42958868181157, -163.39957014482474, -161.35097981039198, -159.28602403264284, -157.20660180531107, -155.11435515922926, -153.01071067820558, -150.8969137717198, -148.77405689537233, -146.64310608006673])","array('d', [-50.02334213256836, -49.95177421829904, -49.9043997789411, -49.872601007258794, -49.850951416632775, -49.835994555114546, -49.825501405621985, -49.81801540735321, -49.81257139145985, -49.8085205615669, -49.80542079033647, -49.802967619000306, -49.80095094978898, -49.799228152256234, -49.797707711723454, -49.79633954882155])","array('d', [0.6357411742210387, 0.5788792643035066, 0.5252588829104875, 0.47544023379784267, 0.42964748010537934, 0.3878871249632993, 0.3500263422043265, 0.3158455481246426, 0.28507439727818945, 0.25741702237095465, 0.23257020638689727, 0.210236840517415, 0.19013618739013322, 0.17201194615762908, 0.15563878655632193, 0.14082781052909282])","array('d', [-0.03465222194790824, -0.02280785661508155, -0.015220624781493754, -0.010301170425945149, -0.0070725851873067866, -0.004928741183065815, -0.003489807975342767, -0.0025152572155667323, -0.001851039453344413, -0.0013971968728163735, -0.001087782382106916, -0.0008782503967000191, -0.000737434226860539, -0.0006423894318547988, -0.0005750858161970199, -0.0005203592942665265])","array('d', [0.7541545192387439, 0.7269024000402909, 0.7027484795013481, 0.6813091439939218, 0.6622451873679682, 0.6452610220917284, 0.6301005005684311, 0.6165420113689171, 0.6043938598544247, 0.5934902263662645, 0.583687705142678, 0.5748623252884151, 0.5669069331975023, 0.5597288252100378, 0.5532475385270605, 0.5473927187941501])",-54.867104027329965,-167.43846014478376,-49.835994555114546,0.3878871249632993,-0.004928741183065815,0.6452610220917284,25.000000248989735,-1.0,"[-174.1423431470668, -60.3999368240094, 49.974676187778556]","[-158.65812527831773, -21.835959259285886, 77.77860812879389]","[-125.25486076124825, -51.06812201751363, 54.76333971673384]",10000000000.0,0.033362388610839844
2,-173.4490509033203,-59.98666000366211,50.02823257446289,0.6360664367675779,0.03496366739273063,0.7094849507000783,23.128098244994682,"array('d', [-62.56584930419922, -60.88864544213509, -59.25907060302437, -57.67276200584818, -56.125609853071374, -54.61383819761529, -53.134018773907584, -51.68305782008839, -50.25817225414394, -48.85686213244576, -47.47688246589685, -46.11621586658801, -44.77304682638538, -43.445738148876096, -42.13280994135539, -40.83292367164959])","array('d', [-176.6847381591797, -174.832316062862, -172.9370757340869, -171.00514007729942, -169.04155566483624, -167.0505323012485, -165.03561145567468, -162.99979179503913, -160.94562636476545, -158.87529971126884, -156.7906901131733, -154.6934203581083, -152.5848994511328, -150.46635695395636, -148.3388711815509, -146.20339564548402])","array('d', [-50.02389907836914, -49.95276693655985, -49.90568416973693, -49.87408232858006, -49.85256696401238, -49.83770251546873, -49.8272736836825, -49.8198329960757, -49.81442136943262, -49.81039413132601, -49.80731198276038, -49.804872422974405, -49.80286671124435, -49.80115314082505, -49.79964078844277, -49.79827989216158])","array('d', [0.635769426822662, 0.5780795316096914, 0.5238961127033777, 0.47371775789667725, 0.4277194844254443, 0.3858688653480795, 0.34800223454642193, 0.31387553111875494, 0.2831989749080144, 0.2556613258631303, 0.230947338249832, 0.2087506970407568, 0.1887839045973734, 0.17078607623666733, 0.1545292844992328, 0.1398238914615232])","array('d', [-0.034442283213138525, -0.0226678625026116, -0.01512647282129136, -0.010237260331300431, -0.007028774988010678, -0.0048983950382701594, -0.003468547917509262, -0.002500165675066007, -0.001840149441447827, -0.0013891657389164098, -0.0010816831454523417, -0.0008734389058729893, -0.0007334656681103707, -0.0006389671846084904, -0.0005720314056589054, -0.000517595549072103])","array('d', [0.7496923367169238, 0.7224627381969967, 0.6983673871718113, 0.6770066781631396, 0.6580312356398962, 0.6411389607189351, 0.6260695322669231, 0.6125986977645044, 0.6005331555435817, 0.5897061963313963, 0.5799740329613339, 0.5712126756152777, 0.5633152059285529, 0.5561893232188508, 0.5497550615783937, 0.5439425907072718])",-54.61383819761529,-167.0505323012485,-49.83770251546873,0.3858688653480795,-0.0048983950382701594,0.6411389607189351,25.000000248990133,-1.0,"[-173.04746543130304, -59.560892450469254, 49.97523783529549]","[-156.92062977694718, -21.160884477956223, 77.64046076026634]","[-124.02479015391717, -50.75175478933277, 54.354324762398804]",10000000000.0,0.03178119659423828
3,-173.08343505859375,-59.708492279052734,50.028202056884766,0.6350352764129639,0.03468446806073181,0.7050549546864372,23.129706674437514,"array('d', [-61.402034759521484, -59.75755011500333, -58.16112145609373, -56.60805923947609, -55.094037117112535, -53.61513980143987, -52.167854258493875, -50.749040696126784, -49.355897375446496, -47.98592470085207, -46.63689074674883, -45.306799125075514, -43.99385964252861, -42.69646205043752, -41.41315315886451, -40.14261968907376])","array('d', [-175.25729370117188, -173.37577264963218, -171.452530988878, -169.49376879306422, -167.50452653767564, -165.4889632696797, -163.45054698325623, -161.3921928263378, -159.3163676961564, -157.2251717260043, -155.12040306530224, -153.00361009110964, -150.87613383999386, -148.7391425926323, -146.59365997300478, -144.44059105963768])","array('d', [-50.026493072509766, -49.955143658574244, -49.90792812240668, -49.87624090763275, -49.85466764305119, -49.839761819849315, -49.829301949761934, -49.821836948966244, -49.816405556246046, -49.81236174322105, -49.80926534339468, -49.80681328989308, -49.80479646858767, -49.803072925653304, -49.80155157353002, -49.80018253761223])","array('d', [0.6359274387359617, 0.5749839989360197, 0.5185890953250337, 0.46699677763390907, 0.4201887177412873, 0.3779800203918429, 0.3400864500363744, 0.30616825827807487, 0.2758596178879055, 0.24878904626252404, 0.2245940782985289, 0.2029321950735235, 0.18348926671215585, 0.16598631681908826, 0.15018514149327902, 0.1358931479644193])","array('d', [-0.034551464021205715, -0.02273330316800242, -0.015167671759623306, -0.010264597217507668, -0.007047896932319392, -0.004912457820907565, -0.0034793700579859614, -0.002508830167609699, -0.0018473227246180925, -0.0013952702372963814, -0.0010869929219043256, -0.0008781343548451481, -0.00073766613944337, -0.0006427516666665351, -0.0005754527751120005, -0.0005206913324538897])","array('d', [0.7321419874813893, 0.7049979988409529, 0.6811294814560056, 0.6600740492746111, 0.6414426899474235, 0.6249079841169035, 0.6101933609238823, 0.5970642438518758, 0.5853210082266568, 0.5747934072611934, 0.5653360998381534, 0.5568249655861061, 0.5491539600886877, 0.5422323243252326, 0.5359820120116995, 0.5303352269832832])",-53.61513980143987,-165.4889632696797,-49.839761819849315,0.3779800203918429,-0.004912457820907565,0.6249079841169035,25.00000024899149,-1.0,"[-172.31170018648177, -59.010092577959995, 49.97579775812475]","[-155.7553368216966, -20.716084786149956, 77.5340233790531]","[-123.20308929829275, -50.55598958548191, 54.0834101089944]",10000000000.0,0.026291608810424805
4,-172.34765625,-59.157020568847656,50.027984619140625,0.6289725899696343,0.03358268737792953,0.6963451663639876,23.139778921080637,"array('d', [-61.11494064331055, -59.47885236235621, -57.89092505429962, -56.34638711246261, -54.84085766393822, -53.3703863002315, -51.931438630570824, -50.5208633024586, -49.13585395381174, -47.77391119007822, -46.432806517643556, -45.110548996904626, -43.80535497680218, -42.51562115993253, -41.23990123660422, -39.97688842970687])","array('d', [-174.89707946777344, -173.00826341357305, -171.07800082822519, -169.11251157723387, -167.11683452448818, -165.09511585830626, -163.0508050865225, -160.98679642556172, -158.90553523248172, -156.80910056266535, -154.699270571625, -152.57757507510593, -150.44533815599326, -148.30371280737722, -146.15370900640897, -143.99621974330663])","array('d', [-50.026737213134766, -49.955106630234084, -49.90770821350969, -49.875899740817914, -49.85424457498128, -49.839282434585826, -49.828783148991164, -49.821290054719206, -49.81583823520153, -49.81177922184201, -49.80867119070814, -49.806209934250745, -49.80418555029603, -49.80245554899977, -49.80092849823238, -49.79955433467559])","array('d', [0.6359929442405697, 0.574221611514825, 0.5172638762848573, 0.4653110757512721, 0.4182957119938759, 0.37599427938549274, 0.33809205817723725, 0.30422510478269743, 0.2740083424003754, 0.2470550150556373, 0.22299066420277233, 0.20146355795702045, 0.18215277620935127, 0.16477472014354072, 0.14908855217563166, 0.13490091282772407])","array('d', [-0.034688740968704085, -0.02282187008995418, -0.015225941974204188, -0.010303661845892492, -0.007074562680771454, -0.004930982466650165, -0.00349246862085787, -0.002518267564321322, -0.0018542683726715033, -0.0014005132759402582, -0.0010910743150058652, -0.0008814284633824148, -0.0007404309814926014, -0.0006451594714240699, -0.0005776080983307826, -0.0005226415497263016])","array('d', [0.7276846329357959, 0.7005609228203957, 0.6767485813211391, 0.655769259756226, 0.6372239361519493, 0.6207788091426671, 0.6061532052210816, 0.5931099295564252, 0.5814477421604939, 0.5709954817449369, 0.561607394394136, 0.5531593091549639, 0.545545388302618, 0.5386752517773279, 0.5324713308844296, 0.5268663383672051])",-53.3703863002315,-165.09511585830626,-49.839282434585826,0.37599427938549274,-0.004930982466650165,0.6207788091426671,25.000000248991782,-1.0,"[-171.9417582214657, -58.73696342868866, 49.97618578562687]","[-155.17653426536188, -20.47246017759297, 77.44899155148504]","[-122.79223925322609, -50.46124976429444, 53.955802417365746]",10000000000.0,0.02035689353942871
5,-171.9774169921875,-58.883697509765625,50.027896881103516,0.6234678030014036,0.032610248774289946,0.6920632878926135,23.150658923663777,"array('d', [-60.547767639160156, -58.92892930317301, -57.35847218421785, -55.83145458898641, -54.34338305325455, -52.89023474204515, -51.46843120528479, -50.07479718372356, -48.70651667306028, -47.36109056005412, -46.03629728396911, -44.730156994390136, -43.440899388207576, -42.16693536510207, -40.90683267253974, -39.65929781664479])","array('d', [-174.17588806152344, -172.27228340492437, -170.32778691771412, -168.34865735258344, -166.33992973974628, -164.30572405475547, -162.2494524237995, -160.1739668467039, -158.08166928034464, -155.97459632601465, -153.8544858692175, -151.72283033551037, -149.58091964807022, -147.42987598894806, -145.27068182336365, -143.1042057653468])","array('d', [-50.02758026123047, -49.95551321858322, -49.907831269692316, -49.8758345241479, -49.85405165395564, -49.83900108116277, -49.82843928632293, -49.82090106282803, -49.815415913347444, -49.81133165125178, -49.80820393136178, -49.805726813686164, -49.80368920097656, -49.80194779098737, -49.80041062760871, -49.79902735518114])","array('d', [0.6362161636352536, 0.5727438493627016, 0.5146281957906342, 0.4619315721547403, 0.41448583738021577, 0.3719886332752316, 0.33406302515355074, 0.30029567441669297, 0.2702621708721481, 0.24354451234802627, 0.21974367100885114, 0.19848901472735264, 0.17944567200162356, 0.16232052903089886, 0.1468673099941399, 0.13289104960535186])","array('d', [-0.03490203619003279, -0.022959161294517617, -0.015316302120611138, -0.01036442642516927, -0.007116283267130877, -0.004960217398383403, -0.003513380388212885, -0.0025335531974510035, -0.0018657108857249624, -0.001409313851673095, -0.0010980551139496593, -0.0008871575265830004, -0.0007452992848080733, -0.0006494281278687668, -0.0005814368704988216, -0.0005261059663619332])","array('d', [0.7185816923764089, 0.6914944652399031, 0.667792608767984, 0.6469649780757822, 0.628592059023479, 0.6123269911643027, 0.5978806905626027, 0.5850105743254782, 0.573512058202247, 0.5632120680947094, 0.5539639655003332, 0.5456434401052829, 0.538145046375973, 0.5313791541867177, 0.5252691513694209, 0.5197487752432578])",-52.89023474204515,-164.30572405475547,-49.83900108116277,0.3719886332752316,-0.004960217398383403,0.6123269911643027,25.00000024899232,-1.0,"[-171.9417582214657, -58.73696342868866, 49.97618578562687]","[-155.17653426536188, -20.47246017759297, 77.44899155148504]","[-122.79223925322609, -50.46124976429444, 53.955802417365746]",10000000000.0,0.017003774642944336
6,-171.23202514648438,-58.34184646606445,50.028621673583984,0.6069363951683042,0.0294560808688401,0.6833627978947499,23.177762845674117,"array('d', [-60.26642990112305, -58.656319892664385, -57.0946944748814, -55.57652686496418, -54.09726768372164, -52.6528583768516, -51.239698964507376, -49.85460270799313, -48.49474922353648, -47.15763994876039, -45.84105716999513, -44.54302693365966, -43.261785934982385, -41.995752468923, -40.74350158108261, -39.503746662382746])","array('d', [-173.8131866455078, -171.9021996124876, -169.9506054594524, -167.96467973616757, -165.94945383046192, -163.90903350132683, -161.8468114762039, -159.76561819934133, -157.66783364827495, -155.5554730256408, -153.43025397852145, -151.29365017634098, -149.14693442687803, -146.99121348567942, -144.82745604870223, -142.65651853204656])","array('d', [-50.02794647216797, -49.95572143591926, -49.90793737680799, -49.87587298837729, -49.854044240128026, -49.83896184313074, -49.82837748444421, -49.82082290633601, -49.815325624189065, -49.81123212853377, -49.80809717653129, -49.80561421033532, -49.80357170556479, -49.8018260689249, -49.8002851560479, -49.798898505675325])","array('d', [0.6362642645835873, 0.5719460649343285, 0.5132564826225947, 0.46019275656361536, 0.41253623705966697, 0.36994513156026687, 0.33201144602760696, 0.298297198912594, 0.26835835735779656, 0.2417613266261456, 0.21809481363652067, 0.19697874823469258, 0.17807129169351138, 0.16107458053894116, 0.14573962916639024, 0.13187068170438473])","array('d', [-0.034979440271854303, -0.02300867244154766, -0.015348778829581989, -0.010386246411470889, -0.00713128098013868, -0.0049707539468140305, -0.0035209446664213606, -0.0025391062225877336, -0.0018698869873400937, -0.0014125404474028555, -0.00110062516521675, -0.0008892738627506821, -0.0007471018332549154, -0.0006510105725483842, -0.0005828567371619204, -0.0005273907149633502])","array('d', [0.7140000025418141, 0.6869345444688844, 0.6632908425170163, 0.6425414596661692, 0.6242567630181377, 0.6080834641074218, 0.593728344726666, 0.5809461746131587, 0.5695307272999265, 0.5593079915634843, 0.5501308995735842, 0.5418750808024028, 0.5344352934806316, 0.5277222892557031, 0.5216599405999341, 0.5161825031918031])",-52.6528583768516,-163.90903350132683,-49.83896184313074,0.36994513156026687,-0.0049707539468140305,0.6080834641074218,25.000000248992553,-1.0,"[-170.44703621930023, -57.660318540161214, 49.98109541000313]","[-152.86404039071323, -19.145219793902065, 76.5785657080935]","[-121.14261290455062, -50.10422676241782, 53.44221064158576]",10000000000.0,0.045363664627075195
7,-170.48196411132812,-57.80815505981445,50.031494140625,0.5838194489479062,0.02508177980780584,0.6748135248806812,23.215494320811242,"array('d', [-59.708492279052734, -58.11543124475299, -56.570936592022576, -55.0698306758019, -53.60746942418193, -52.179737014776165, -50.783001840359454, -49.41406336430221, -48.07009979595868, -46.74861961168622, -45.44741763316397, -44.16453570009405, -42.89822786279524, -41.64693007985727, -40.4092344988056, -39.18387050558812])","array('d', [-173.08343505859375, -171.15818842180974, -169.19299796146245, -167.194139038164, -165.16661468975735, -163.1144887214719, -161.04110621401884, -158.9492486450867, -156.84124814529747, -154.71907454430809, -152.58440331766076, -150.43866951700014, -148.28311100269934, -146.11880321176952, -143.94668699385826, -141.76759415940285])","array('d', [-50.028202056884766, -49.95658907371969, -49.90921431111393, -49.8774260934733, -49.855785634721606, -49.840833115231035, -49.83033952021616, -49.8228493282209, -49.81739854257489, -49.81333937387327, -49.81023047802118, -49.80776797840298, -49.805742196904056, -49.80401079031875, -49.80248241346867, -49.801107038988775])","array('d', [0.6350352764129639, 0.5692543943045191, 0.5096050628881355, 0.45595996306361397, 0.40800519350087516, 0.36532533074946366, 0.32745481689693495, 0.29391026752693994, 0.2642116806180797, 0.23789701893059031, 0.21453273305010184, 0.1937217345678728, 0.17510973094718665, 0.158390490813045, 0.14331040995763442, 0.12967263306860755])","array('d', [-0.03468446806073181, -0.022812148550556854, -0.015216728288609807, -0.010296633681569817, -0.007069787142146251, -0.004928030713895199, -0.003490845700397545, -0.002517553491105196, -0.0018541454842889947, -0.001400754366235364, -0.0010915215607146273, -0.0008819741053423155, -0.0007410029363072145, -0.0006457120709780113, -0.0005781170925469618, -0.0005231021067803478])","array('d', [0.7050549546864372, 0.6781029914620005, 0.6546287899833559, 0.6340771026680183, 0.6160013760546424, 0.6000377819608067, 0.5858864693641974, 0.5732980824160852, 0.5620639543452479, 0.5520088130116483, 0.5429851783171642, 0.5348688832044258, 0.5275553269626391, 0.5209561922512592, 0.5149964416176123, 0.5096114579448564])",-52.179737014776165,-163.1144887214719,-49.840833115231035,0.36532533074946366,-0.004928030713895199,0.6000377819608067,25.000000248992922,-1.0,"[-170.06934899961217, -57.395150894362516, 49.984443941474474]","[-152.28403920912643, -18.714782170187362, 76.20489075342459]","[-120.72752015239524, -50.03232490573139, 53.327005754379464]",10000000000.0,0.020068645477294922
8,-170.10418701171875,-57.543582916259766,50.03398132324219,0.5702027082443236,0.022426329553127178,0.670489446320806,23.239065086548145,"array('d', [-59.157020568847656, -57.58038855913428, -56.05195106076527, -54.56645217497829, -53.11921309432444, -51.70610921031009, -50.32351635504554, -48.96825178881671, -47.63751804272, -46.32885176965912, -45.04007787830298, -43.76926875937156, -42.51470840702879, -41.27486135231986, -40.048346447499284, -38.833917648661355])","array('d', [-172.34765625, -170.40884596480151, -168.43110289022033, -166.42060026092116, -164.38224540712812, -162.3200141807497, -160.23717179003535, -158.1364277193635, -156.02004953555064, -153.8899493903075, -151.74775140693086, -149.5948450673579, -147.43242792825612, -145.26153989664206, -143.0830905901065, -140.89788443149237])","array('d', [-50.027984619140625, -49.95864816919767, -49.91278255172112, -49.88200763232807, -49.86105669178578, -49.84657995837041, -49.83641956565057, -49.82916655056857, -49.8238877870244, -49.81995623869105, -49.8169447000078, -49.8145590261352, -49.812596251113646, -49.810918585702574, -49.809437603627096, -49.80810487016465])","array('d', [0.6289725899696343, 0.5624585071570308, 0.5024605762423713, 0.4487428206147886, 0.4009116612278809, 0.35849215598983325, 0.3209735748892315, 0.2878378610286506, 0.25857826496893793, 0.23271217969358696, 0.20979045954526332, 0.18940455131340167, 0.1711922326344508, 0.15484245133459978, 0.14009958731738933, 0.12676736033789832])","array('d', [-0.03358268737792953, -0.02208568628304378, -0.014731629566640828, -0.00996841094549229, -0.0068446548455410846, -0.0047713848566677776, -0.00338016066437282, -0.0024379771957116765, -0.0017957504299848121, -0.0013568118960789624, -0.0010574141686154476, -0.0008545100482820039, -0.0007179875825801321, -0.0006256846313449456, -0.0005601936078202514, -0.0005068842656737249])","array('d', [0.6963451663639876, 0.6697631096979866, 0.646658956249894, 0.6264651202694648, 0.6087286868103632, 0.5930826533666044, 0.5792257865589607, 0.5669084202174114, 0.5559222624149418, 0.546092879875293, 0.5372739563120891, 0.5293427140715746, 0.5221960863282584, 0.5157473605024698, 0.5099231034433039, 0.5046602305356055])",-51.70610921031009,-162.3200141807497,-49.84657995837041,0.35849215598983325,-0.0047713848566677776,0.5930826533666044,25.000000248993125,-1.0,"[-170.06934899961217, -57.395150894362516, 49.984443941474474]","[-152.28403920912643, -18.714782170187362, 76.20489075342459]","[-120.72752015239524, -50.03232490573139, 53.327005754379464]",10000000000.0,0.028130769729614258
9,-169.34300231933594,-57.01881790161133,50.04183578491211,0.5402034521102903,0.016620680689811512,0.6617628494885306,23.297308380879386,"array('d', [-58.883697509765625, -57.315035366969646, -55.79415245212751, -54.315790240766816, -52.875282506506196, -51.46852444099205, -50.091915124601165, -48.742296559566796, -47.41689638975934, -46.113276041572334, -44.82928437637228, -43.563016580507934, -42.31277805682878, -41.077053215900946, -39.85447919616056, -38.64382665103987])","array('d', [-171.9774169921875, -170.03207900491373, -168.04848816328018, -166.03271706241813, -163.98959234743273, -161.92302333194002, -159.83621933420275, -157.73184230762598, -155.61211904722245, -153.4789265186071, -151.33385835248362, -149.17827753334106, -147.01335855429323, -144.8401212296134, -142.65945766228796, -140.47215700396646])","array('d', [-50.027896881103516, -49.96056823987532, -49.91603140417553, -49.886147612881004, -49.86580250196752, -49.85174346692892, -49.84187534093129, -49.834830141315635, -49.8297018978921, -49.82588182855869, -49.82295516788061, -49.820636339083926, -49.81872829032369, -49.81709724773147, -49.81565735932567, -49.814361592875954])","array('d', [0.6234678030014036, 0.5569521280819728, 0.4970860668086991, 0.4435876651039218, 0.3960312945897372, 0.3539191644810672, 0.3167239725765266, 0.28391551904392753, 0.25497814678622716, 0.22942278622514528, 0.2067957386503357, 0.18668543568261228, 0.16872791420773842, 0.1526114656465446, 0.1380807592765402, 0.12494064902050751])","array('d', [-0.032610248774289946, -0.021445705535543824, -0.014304847483927604, -0.009679928982707819, -0.006646941791529865, -0.004633928393733586, -0.0032831274794371495, -0.0023683009430950776, -0.0017446996109783037, -0.0013184674392867203, -0.0010277120026847262, -0.0008306388577795688, -0.0006980127521922662, -0.0006083176939658032, -0.000544655102259798, -0.000492824443152824])","array('d', [0.6920632878926135, 0.6657954118413275, 0.6429779339139933, 0.6230447380365457, 0.6055448861596274, 0.590113372125666, 0.576450826834842, 0.5643092917944165, 0.5534820439561917, 0.5437961064061151, 0.5351065287646726, 0.5272918228453802, 0.5202501406201872, 0.5138959162913113, 0.5081567844681052, 0.5029706380765396])",-51.46852444099205,-161.92302333194002,-49.85174346692892,0.3539191644810672,-0.004633928393733586,0.590113372125666,25.000000248993164,-1.0,"[-168.54547039726165, -56.353708815487295, 50.00811978037326]","[-149.95472610432176, -16.729967704367674, 74.18131499725538]","[-119.062117935669, -49.808865820243824, 52.93435615657485]",10000000000.0,0.04071855545043945
