,weight,safe_distance,x,y,z,radii
0,1e-10,4.5,22,-3,0,7
1,1e-10,4.5,-103,-3,14,5
2,1e-10,4.5,-33,138,53,10
3,1e-10,4.5,42,115,12,8
4,1e-10,4.5,101,35,42,7
5,1e-10,4.5,45,-23,75,7
6,1e-10,4.5,-141,-118,68,10
7,1e-10,4.5,61,-119,6,5
8,1e-10,4.5,127,52,68,10
9,1e-10,4.5,92,94,47,6
10,1e-10,4.5,142,1,3,5
11,1e-10,4.5,-63,13,76,7
12,1e-10,4.5,-80,33,52,7
13,1e-10,4.5,-62,-122,78,8
14,1e-10,4.5,43,140,15,7
15,1e-10,4.5,-111,-22,20,8
16,1e-10,4.5,-63,-22,58,7
17,1e-10,4.5,24,-97,23,6
18,1e-10,4.5,-62,-112,79,7
19,1e-10,4.5,15,94,13,11
20,1e-10,4.5,-125,123,48,8
21,1e-10,4.5,-78,-45,49,11
22,1e-10,4.5,115,-108,69,8
23,1e-10,4.5,-35,-119,41,8
24,1e-10,4.5,93,107,35,7
25,1e-10,4.5,47,-93,64,11
26,1e-10,4.5,-51,141,69,8
27,1e-10,4.5,27,-31,0,9
28,1e-10,4.5,93,117,50,6
29,1e-10,4.5,135,-68,36,7
