,weight,safe_distance,x,y,z,radii
0,1e-10,4.5,-113,-64,41,6
1,1e-10,4.5,85,-9,15,8
2,1e-10,4.5,-78,-143,64,9
3,1e-10,4.5,105,-128,68,7
4,1e-10,4.5,53,-149,25,11
5,1e-10,4.5,-17,59,7,11
6,1e-10,4.5,-6,114,26,5
7,1e-10,4.5,-21,66,25,5
8,1e-10,4.5,-79,-9,22,6
9,1e-10,4.5,87,-35,9,6
10,1e-10,4.5,131,-29,67,10
11,1e-10,4.5,28,-120,23,8
12,1e-10,4.5,126,-79,27,5
13,1e-10,4.5,104,-101,37,5
14,1e-10,4.5,102,-147,57,10
15,1e-10,4.5,6,130,38,10
16,1e-10,4.5,-100,-107,8,11
17,1e-10,4.5,-82,-74,32,9
18,1e-10,4.5,65,-124,34,10
19,1e-10,4.5,91,-41,10,11
